,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
0,4,4,2,2,0,0,3,4,3,4,9.08,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,13
1,1,1,1,2,0,1,3,3,3,2,9.54,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,7
2,1,1,1,2,0,2,3,2,3,6,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3
3,4,2,1,3,0,2,2,2,5,0,7.54,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,15
4,3,3,1,2,0,0,3,2,5,0,7.12,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,11
5,4,3,1,2,0,1,4,2,5,6,8.5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,13
6,2,2,1,2,0,1,4,4,3,0,9.23,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
7,4,4,2,2,0,1,1,4,1,2,8.92,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,12
8,3,2,1,2,0,1,2,2,1,0,8.62,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,11
9,3,4,1,2,0,0,5,1,5,0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,10
10,4,4,1,2,0,2,3,3,2,2,8.08,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,12
11,2,1,3,3,0,2,2,2,4,0,8.46,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,15
12,4,4,1,1,0,1,3,3,5,0,8.46,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,10
13,4,3,2,2,0,0,4,3,3,0,7.38,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,10
14,2,2,1,3,0,0,5,2,3,0,7.73,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,15
15,4,4,1,1,0,1,4,4,2,6,6.81,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,13
16,4,4,1,3,0,2,2,3,2,10,5.96,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,16
17,3,3,3,2,0,1,3,2,4,2,7.85,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,12
18,3,2,1,1,3,2,5,5,5,2,8.5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,14
19,4,3,1,1,0,1,1,3,5,6,7.85,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
20,4,3,1,2,0,0,4,1,1,0,6.5,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,10
21,4,4,1,1,0,0,4,2,5,0,6.92,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,10
22,4,2,1,2,0,1,5,1,5,0,8.62,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,10
23,2,2,2,2,0,2,4,4,5,2,7.5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,14
24,2,4,1,3,0,1,3,2,5,2,0.0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,12
25,2,2,1,1,0,2,2,2,5,6,6.23,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
