,AM_3,DLDA,DSGT,ECCF,DS,DLDA_Lab,BE_Lab,DS_Lab,OOPM_Lab,AM_4,AOA,COA,CG,OS,AOA_Lab,CG_Lab,PA_Lab,OS_Lab,OST_LAB,OOPM,AM_3.1,DS.1,DLDA.1,DIS,ECCF.1,DLDA_Lab.1,DS_Lab.1,OOPM_Lab.1,ECCF_Lab,AM_3_Tutorial,GPA_SEMIII,GPA_SEMIV,avg_GPA
AM_3,1.0,0.6898614907970764,0.68992623311546,0.6556069277271729,0.6614228386210602,0.38232475559673934,0.3596765156975365,0.2591254243843766,0.018388332435252515,0.783799038956605,0.6790994785447809,0.554957390573704,0.620346402613369,0.3604654183931714,0.21568867297765923,0.24569078316729978,0.2878177404328086,0.03763790016231957,0.26590267944336343,0.015981976639664507,-0.019081386371986673,0.04347509581520939,-0.03239875771993121,-0.001551624518455451,0.05595250423549337,-0.00973737231179086,-0.11915650625248644,0.12553426633038342,0.1361453007514353,0.14266190470250065,0.6945848666410822,0.598223670142682,0.7332638405780801
DLDA,0.6898614907970764,1.0,0.7188925677802284,0.728101589510083,0.730977033460689,0.5611006624580807,0.5114139554861343,0.3840219034073451,0.25602860985200304,0.6009898170870756,0.6817609994724808,0.5749208013799846,0.5664467114982079,0.3983323813347478,0.3854448006091822,0.5054803469026021,0.4693454947528676,0.21415696658788952,0.3856758626699991,0.05137880630706004,0.09142129907645595,0.12080879723943642,0.061850639728524455,0.13538748946618906,0.18263936252456237,-0.014090915519300824,0.04563156373871146,0.24387075120371804,0.07802961897318865,0.17836022783041372,0.7744401057380081,0.5340643559518671,0.7493968737940297
DSGT,0.68992623311546,0.7188925677802284,1.0,0.6716021030008997,0.6802047466181136,0.4401011328920074,0.4297166190086363,0.30102990947992,0.11226989435593086,0.650460701770506,0.6704049832799521,0.5372739689290268,0.5625713469544951,0.39945880404151446,0.3864515481872959,0.3641771451861397,0.39440807218478463,0.20612075206587116,0.37157264668752055,-0.050284115194100316,0.09270157449482994,0.19544735536929597,0.09822083015943121,0.08912552376897577,0.21624468608094063,-0.010463551015736006,-0.06507794027197895,0.13134299290095566,0.11219307020738334,0.3250406411920216,0.6627583477543669,0.55455199030968,0.6913266888311583
ECCF,0.6556069277271729,0.728101589510083,0.6716021030008997,1.0,0.7224184787709369,0.3957187568070926,0.5438862225978779,0.3452707591989399,0.1688917577618067,0.5781610882836534,0.7026460863063038,0.670292969070021,0.6699298155306218,0.5501255090056453,0.30232131389014993,0.3676663177224107,0.4564580603376373,0.1639856674568483,0.31216633945422473,0.09404703497175779,0.17842004832544966,0.11711676784239611,0.13746782582331318,0.1886074976319288,0.15894181648321387,0.11595199312694081,-0.14503488096023945,0.12603763280022992,0.06718984154519084,0.0937282715850886,0.7668752310894041,0.6052144765992051,0.7812372843069455
DS,0.6614228386210602,0.730977033460689,0.6802047466181136,0.7224184787709369,1.0,0.4939568141464687,0.4901651284859972,0.4514434949761775,0.19581067937228838,0.6026539823616579,0.6333732745007155,0.5746086711038629,0.5333814320354284,0.41518933742980746,0.3589373005672591,0.4204251803220344,0.417675002448845,0.1886517176528618,0.43804938803504495,-0.032254328040954815,0.07086394472566168,0.18980256439089785,0.041294969572699014,0.14142542366345331,0.16564965652667313,0.025505507321558946,-0.10126540572140313,0.21605022626014403,0.015065178694344273,0.16353750694000688,0.7346711873805695,0.5365033871756566,0.7262282156629298
DLDA_Lab,0.38232475559673934,0.5611006624580807,0.4401011328920074,0.3957187568070926,0.4939568141464687,1.0,0.5417322505752079,0.43436673502194817,0.3610777809789731,0.38142671506335707,0.40736520261775694,0.3042722384771591,0.3211855941338678,0.1970369707618375,0.317957622135788,0.3991449840206084,0.4501363476407441,0.31119845774703686,0.49933242952597506,0.19858951489219592,0.17780991202916213,0.25947363033826354,0.09424358633810422,0.24132400689619815,0.30664139064118345,0.05411368146813452,0.16368251152894844,0.2925297709803033,0.20112524409116747,0.2481040162006721,0.5307542048790272,0.3259230179630086,0.4930319568136366
BE_Lab,0.3596765156975365,0.5114139554861343,0.4297166190086363,0.5438862225978779,0.4901651284859972,0.5417322505752079,1.0,0.5925826553172813,0.24533029536134598,0.3394635695529674,0.49411436572605294,0.39382049867057506,0.3989723556063334,0.1953821883225968,0.3945817604792354,0.46576954489551475,0.604248043849535,0.31255322376126,0.39857338072633464,0.28247314514318006,0.17669948359014176,0.23959218346480415,0.11736596600575898,0.20028047855808448,0.3138359166816475,0.06610453711754573,0.1037544118677736,0.24300169871964605,0.2156044875230703,0.24126373235829165,0.4111211865607468,0.32224160802541385,0.4176856596904624
DS_Lab,0.2591254243843766,0.3840219034073451,0.30102990947992,0.3452707591989399,0.4514434949761775,0.43436673502194817,0.5925826553172813,1.0,0.5842573639854031,0.20770625596956516,0.30612657183449477,0.32476364196427493,0.3519266097683429,0.21853636352284178,0.5896981054005193,0.5294985467690937,0.615096700953099,0.467908475861235,0.5417493919352405,0.031144797553179882,-0.023434595981904765,0.04506574657024734,-0.07032573874679653,0.021988683215103173,0.0864439640723791,-0.12341877920720844,-0.05167501749271831,0.008004078077393385,0.16149924844958802,0.13859111450536826,0.2803667474067538,0.2809933987683704,0.31624635803666346
OOPM_Lab,0.018388332435252515,0.25602860985200304,0.11226989435593086,0.1688917577618067,0.19581067937228838,0.3610777809789731,0.24533029536134598,0.5842573639854031,1.0,-0.09229695417465927,0.0008893680003353503,0.15703652189233824,0.08453346375604144,0.20023541623202415,0.5765884344522958,0.44463264344500275,0.3684221277673393,0.4804729097972216,0.4145190355695317,0.09105205831202368,0.14515159182755247,0.15973417237939733,0.14597537818975223,0.23451445065682716,0.16484378443003017,-0.009814700058288772,0.005634959608683857,0.07855070175145355,0.006541447020190802,0.05360022697193988,0.16879072232465422,0.058499114255558995,0.13364098360020812
AM_4,0.783799038956605,0.6009898170870756,0.650460701770506,0.5781610882836534,0.6026539823616579,0.38142671506335707,0.3394635695529674,0.20770625596956516,-0.09229695417465927,1.0,0.7075351235976112,0.5519314461222385,0.6039068883977541,0.29832619161461943,0.1972608233164432,0.20609652950563928,0.26306019986089024,-0.12469218723784083,0.32742953378750994,-0.05367633722666626,-0.1549789626004038,-0.0856545634952189,-0.1326701701312365,-0.16512559483966796,-0.03265294734897741,0.016894156591339568,-0.30013151851333725,-0.07387794628749336,-0.04004680836892831,0.010517032650222677,0.5991045491740592,0.7041783343699076,0.7289689922144222
