,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
11,2,1,3,3,0,2,2,2,4,0,8.46,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,7
50,2,2,3,2,0,1,3,3,4,0,8.46,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,7
70,3,1,2,4,0,0,3,2,5,2,7.88,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,7
141,1,1,4,2,0,0,1,3,3,0,9.1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7
185,1,0,2,2,0,1,3,2,3,0,7.43,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,7
222,1,1,2,1,0,1,3,2,5,2,5.78,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7
242,2,1,4,2,0,1,3,2,3,2,8.67,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,7
261,2,1,3,2,0,1,1,1,3,2,6.56,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,7
285,2,1,2,1,0,1,3,2,3,2,6.89,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,7
327,1,1,2,4,0,2,2,2,3,2,9.11,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,7
350,2,1,2,3,1,1,3,1,5,0,5.62,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,7
458,1,1,4,4,0,1,3,2,1,0,6.8,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,7
459,1,1,4,3,0,0,4,3,5,2,6.96,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,7
460,1,1,2,2,0,0,3,3,2,1,6.69,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,7
461,1,1,2,1,0,0,2,2,2,0,7.42,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,7
462,1,1,3,2,0,0,2,1,2,0,7.81,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7
466,3,1,2,1,0,0,2,3,4,0,7.92,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,7
468,2,2,3,1,0,0,3,3,4,1,8.38,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7
472,2,2,3,1,0,1,3,2,4,0,7.62,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,7
482,1,1,2,1,0,0,2,1,4,0,8.38,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7
509,1,1,3,2,0,0,3,2,1,0,8.69,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,7
519,2,1,2,2,0,1,2,1,2,0,7.81,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,7
527,2,2,4,3,0,2,1,3,3,0,6.81,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,7
531,1,1,3,2,0,0,1,3,1,0,8.73,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,7
532,2,1,2,2,0,0,2,2,5,2,8.58,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,7
559,1,0,3,1,1,1,3,2,4,0,7.96,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7
597,2,2,3,2,1,1,3,3,4,0,10.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,7
604,1,1,3,2,1,2,4,2,2,2,9.92,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
616,1,1,2,1,0,0,3,2,3,2,10.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,7
617,1,1,2,3,0,1,3,2,4,0,10.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7
624,1,1,3,1,1,1,2,1,1,0,10.0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,7
