, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4
 AM_SE,1.0,0.7347859790781549,0.6632838979728447,0.5164488651545878,0.6156851101954415,0.5684729894477927,0.5753332539305721,0.5086643936188535,0.6408018334321957,0.49255725638059134,0.467188915090481,0.46808981444258335,0.37874838338499356,0.3600583252392762,0.4798895381540535,0.3527025715589402,0.3366725788845584,0.325391975549381,0.7242930368719136,0.5693888812726812,0.6270916462920435,0.5178967102500724,0.6198505008495452,0.5103063953893221,0.6042190672809036,0.5218616660845053,0.438248778496,0.2439812503018578,0.3303122290021374,0.4183529225912493,0.37527128382517405,0.35075701591603375,0.3628349555416136,0.30617169616485035,0.15222106460081222,0.28187840757701654,0.36593935261443633,0.40571337142018615,0.764404759413989,0.6147278912388895
AM_IA,0.7347859790781549,1.0,0.6616488472960854,0.5653808787917989,0.687640353954722,0.5398913604377826,0.6487740596775327,0.5611767057971137,0.5671867348411302,0.5324299634363638,0.46378397390419934,0.3363755193969907,0.4751396075993447,0.2748435768737461,0.5276294997165687,0.30765103297639995,0.39881502475284386,0.2598063097138968,0.6660631717467345,0.47311224419199616,0.6254455204625728,0.5914301207586489,0.5938441154825366,0.4344879289607963,0.62281417163872,0.5189094858777387,0.5635400311481118,0.22677095938710873,0.45076947679930607,0.3968351623998826,0.4349325836984089,0.4312307607682808,0.466516361561044,0.511273295022794,0.3218781797347378,0.22236424900035429,0.3430633130588787,0.36711796562656734,0.6810164511303283,0.5924449436482586
DLDA_SE,0.6632838979728447,0.6616488472960854,1.0,0.5246644251964363,0.7346932767393096,0.5193694708084838,0.6992911832695812,0.509110547071321,0.6555654829952694,0.5555709593822665,0.3943861260462181,0.3942929117203919,0.347357247757442,0.22616381261804955,0.47706473099723057,0.2684347145993813,0.34012726767164136,0.24306944625040108,0.6585904740151483,0.4960455855918028,0.6127660169729657,0.5553919329620075,0.5714675171041328,0.38940768956854227,0.6521177396961538,0.4888128426925439,0.6037749272398678,0.20509231269571035,0.3824917721153656,0.37910361017936817,0.4314822313425214,0.41160535797185555,0.4022873403048413,0.5573731899334755,0.30549160921551477,0.2157377067313577,0.3503871649450997,0.4276821683789544,0.7462524073891245,0.5979771692128473
DLDA_IA,0.5164488651545878,0.5653808787917989,0.5246644251964363,1.0,0.5225902191561378,0.6177497193977569,0.5176459671700347,0.6041415232659703,0.5537746555335381,0.5805846595782239,0.4838150335115196,0.44199469272394665,0.4296094483143211,0.43020620150006555,0.4695431005936208,0.3990797471796347,0.42713424934708555,0.3946084164081162,0.4282506051165465,0.44654200494199486,0.469068916409154,0.4564936190710516,0.4581821925595797,0.45121466724812537,0.45797728928740034,0.4600083635038238,0.3939933701109676,0.400924543804034,0.41628149964763395,0.3733319611257743,0.2878258814619245,0.34535455674860094,0.38189377886685977,0.39330436007704134,0.2651215240000674,0.37497522173208264,0.3371857697895232,0.2761093001925642,0.5723836314243494,0.41035354246775624
DSGT_SE,0.6156851101954415,0.687640353954722,0.7346932767393096,0.5225902191561378,1.0,0.5556980636070648,0.6566214952792377,0.4868966191077109,0.6198532453418536,0.5416455113318476,0.3710780343515384,0.33902638069099617,0.34511682826916534,0.2172156606225852,0.4245345627992961,0.2750369182028745,0.3483058911702968,0.24934770857726785,0.6130619259461164,0.4646927059846495,0.577348801358953,0.5811254204499465,0.555857959968962,0.36371800622199335,0.6374377774877557,0.4698170700689336,0.5909262130463248,0.19199096469097524,0.3894067543268591,0.3719739769998029,0.4429441077878129,0.4404470106387055,0.412898620530296,0.5210358481176065,0.36917857953108174,0.18859914819480317,0.3394901972252497,0.45097146986269304,0.7085897371226508,0.5726591213361627
DSGT_IA,0.5684729894477927,0.5398913604377826,0.5193694708084838,0.6177497193977569,0.5556980636070648,1.0,0.49593644533592496,0.5192596809074876,0.5898757674173682,0.6075118669183536,0.4428770602780935,0.5043506415603987,0.42797453246380746,0.4594276511803254,0.4231051243864448,0.44346519514895105,0.4337775009403491,0.3610140466447715,0.5781809199193603,0.5547969699586413,0.5255313011844849,0.5385323723054278,0.4409442567195445,0.4423461400563352,0.4810781351477943,0.576605034405728,0.3301611747198029,0.42442737498065397,0.39547568215703033,0.4414006226213212,0.3371402882603691,0.4504117652145509,0.3127230597439611,0.3001036365187867,0.12213018911273889,0.392153550289382,0.3966235284472548,0.36560655946570114,0.6132060752663694,0.48229486405700184
ECCF_SE,0.5753332539305721,0.6487740596775327,0.6992911832695812,0.5176459671700347,0.6566214952792377,0.49593644533592496,1.0,0.6180747702581613,0.6164556667960015,0.5724844884711963,0.39592957097682197,0.34039498339974034,0.4411337295568084,0.30793278291604836,0.4266128755835372,0.27818971136139425,0.3148338382899916,0.28364089690544164,0.5812056315381545,0.4679311071675276,0.6572570336400899,0.5679759733358348,0.6139957015391259,0.4548192195301927,0.6722022055342103,0.5450798292322789,0.6453820011076759,0.33951297501996563,0.39456245210165924,0.32967810732886194,0.38596406276815853,0.4345941544918985,0.4325479169604365,0.5471017616371495,0.3223129206616564,0.2863442268141981,0.35193052866785385,0.3983648546938643,0.7005745000088821,0.6045269591153418
ECCF_IA,0.5086643936188535,0.5611767057971137,0.509110547071321,0.6041415232659703,0.4868966191077109,0.5192596809074876,0.6180747702581613,1.0,0.5601666340746168,0.5072339454881656,0.4759088934836544,0.4621435549020316,0.6502154969353314,0.4782035437051327,0.43598047683682056,0.3179446478621913,0.37258384337141104,0.34262745214654394,0.4504146544706566,0.4349600150404883,0.593996691994599,0.5453884142049014,0.5841660512729282,0.554639687461905,0.546970299863637,0.5751876142420412,0.46073327749486226,0.4492268845094092,0.41580764634448,0.4167785435969449,0.33721502774579315,0.4158408966910339,0.35079611736349386,0.35933987563913267,0.2353567174475725,0.39008548747242094,0.3733483748660612,0.270995102554483,0.6058901161388107,0.5228086933419799
DS_SE,0.6408018334321957,0.5671867348411302,0.6555654829952694,0.5537746555335381,0.6198532453418536,0.5898757674173682,0.6164556667960015,0.5601666340746168,1.0,0.6674571700937734,0.40040221798850595,0.4904816992485642,0.3804774941090741,0.355191526264404,0.4526335062747517,0.41512848500989447,0.3692062395751408,0.38432152824658466,0.607148206154928,0.521551622849859,0.6168201361971105,0.5660182976870483,0.6207911506702295,0.5420803979492618,0.5917602713910932,0.5286751230312182,0.5366168226102486,0.4256163495739659,0.3715974946658728,0.44057277060291455,0.41808859716032115,0.4399355281716624,0.40455487823156466,0.4102415017687755,0.27866712006484856,0.3809750222242468,0.46883429500620855,0.48559892874765165,0.7399881362235553,0.5634671620631126
DS_IA,0.49255725638059134,0.5324299634363638,0.5555709593822665,0.5805846595782239,0.5416455113318476,0.6075118669183536,0.5724844884711963,0.5072339454881656,0.6674571700937734,1.0,0.38289482908601963,0.41773115697040997,0.349820391289099,0.4037345904182104,0.4663754803228194,0.47061606299341885,0.4564532980284232,0.2945934214216825,0.5466209030849608,0.552229967655326,0.5107592612615668,0.5224035650303283,0.39722206826019396,0.3430454585042543,0.4956010663045336,0.5096092654745416,0.4705478954819361,0.4272169501932702,0.4409576463409695,0.3864339492657374,0.3375732183501559,0.44635295610642406,0.3889703277934022,0.43203220579229634,0.2654865798213007,0.36937962523791296,0.3681577800781253,0.3486843020393281,0.5828283128111339,0.4739395741588756
