, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
3,38,12,52,12,40,18,54,13,60,18,23,22,21,22,24,24,45,46,45,15,60,13,58,17,58,16,35,16,24,21,23,21,24,18,23,23,24,22,7.54,8.11,0
9,60,15,52,13,55,18,18,9,44,13,17,20,21,21,22,21,39,43,63,15,51,12,43,11,53,12,37,8,17,20,20,21,20,16,20,21,22,15,0.0,7.3,0
10,60,10,56,17,52,18,36,12,59,17,22,23,22,21,24,22,47,48,33,14,55,17,43,14,44,14,22,14,22,21,23,23,24,19,22,23,24,23,8.08,0.0,0
13,64,9,52,12,35,15,42,13,53,10,22,22,20,22,22,21,38,37,59,19,70,14,55,16,62,16,52,12,16,19,20,21,19,20,21,22,18,18,7.38,8.63,0
15,64,11,32,13,48,15,36,16,35,9,22,20,21,20,21,15,36,37,61,14,47,9,58,14,54,16,35,12,17,17,20,20,18,16,19,20,21,14,6.81,7.37,0
16,37,12,38,10,51,16,32,12,32,11,22,23,22,21,24,24,42,42,61,17,59,14,44,17,54,15,47,15,20,24,21,20,22,20,21,20,23,19,5.96,8.29,0
20,54,11,35,14,38,17,32,12,44,12,20,22,22,21,22,24,42,47,52,12,45,12,52,20,52,16,34,16,18,23,19,18,19,18,20,21,21,22,6.5,7.44,0
21,48,10,40,15,38,16,45,13,47,17,23,23,23,22,24,23,44,45,55,18,51,15,49,17,45,14,39,18,22,21,20,21,22,19,19,22,24,24,6.92,7.58,0
23,64,13,47,17,40,16,41,14,43,14,23,21,21,23,22,22,44,46,61,20,58,17,57,16,61,16,47,16,21,24,19,22,19,16,20,23,21,22,7.5,8.89,0
24,68,11,35,5,36,14,46,7,36,14,19,19,23,20,23,22,44,46,65,17,55,14,54,15,58,16,50,15,19,18,21,18,22,18,19,20,21,22,0.0,8.26,0
26,62,13,35,11,38,13,47,15,52,14,18,19,20,21,24,21,38,42,63,16,60,18,67,20,58,18,54,20,18,21,20,20,21,18,18,21,19,20,7.42,9.1,0
