, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
45,36,9,12,8,32,18,32,8,32,12,17,17,19,21,17,13,38,31,60,15,32,11,21,12,37,9,20,11,18,14,23,23,14,15,15,19,16,10,0.0,0.0,4
48,51,8,36,10,32,18,32,9,34,14,21,21,21,21,20,17,42,44,44,18,54,14,16,12,0,12,0,11,19,19,21,21,18,15,17,19,19,15,6.08,0.0,4
51,12,0,15,4,5,6,17,5,32,6,19,18,17,21,17,20,39,42,15,11,50,9,18,8,42,11,53,11,18,19,19,19,16,15,18,19,18,17,0.0,0.0,4
99,13,8,8,15,34,15,13,12,20,11,22,23,19,22,22,22,45,47,20,5,18,13,32,11,32,11,38,15,21,20,19,19,19,17,22,22,18,22,0.0,0.0,4
104,24,8,21,9,32,8,32,9,14,9,15,12,19,20,21,22,43,45,32,8,33,13,48,11,39,9,48,17,21,24,20,18,19,17,20,22,16,21,4.96,6.11,4
107,23,7,32,8,37,8,20,13,32,13,13,20,20,21,22,23,44,42,33,9,38,8,34,12,36,11,38,18,22,21,20,19,20,18,21,22,18,14,0.0,5.78,4
110,32,7,11,15,32,11,6,9,26,10,23,17,18,20,22,22,47,47,20,12,33,13,14,11,32,14,39,14,22,23,18,12,20,18,21,20,19,19,0.0,0.0,4
113,22,9,32,8,36,14,39,10,34,10,12,22,20,22,23,21,44,46,15,4,39,8,52,12,42,14,40,19,17,18,19,19,19,17,22,21,17,13,0.0,0.0,4
121,15,4,32,12,37,13,21,9,37,13,12,12,15,16,14,0,34,36,56,11,44,11,23,6,44,8,54,13,20,20,18,17,19,18,20,21,16,17,0.0,0.0,4
171,2,8,13,8,40,12,32,8,25,10,14,13,17,17,18,14,44,35,39,10,19,10,9,5,20,5,35,10,17,17,17,16,18,19,18,20,18,16,0.0,0.0,4
183,32,10,32,10,51,10,38,9,22,10,11,12,16,16,12,12,25,32,39,12,37,8,32,7,32,6,41,8,11,0,14,15,17,19,18,18,12,14,0.0,0.0,4
189,32,10,35,10,35,16,16,4,32,12,20,19,15,16,19,23,45,34,51,12,47,13,32,6,32,8,32,13,20,21,17,17,18,19,18,20,20,22,0.0,6.26,4
206,19,12,22,12,39,11,32,11,36,14,17,13,20,20,21,21,45,45,33,9,49,10,32,8,40,10,47,15,20,18,19,22,21,18,21,20,20,18,0.0,6.22,4
207,14,7,32,10,32,11,33,10,34,4,16,14,18,20,14,17,26,32,39,8,44,8,32,8,40,11,42,14,13,15,17,17,17,18,20,18,14,6,0.0,0.0,4
208,6,3,17,10,23,9,32,5,55,10,13,12,15,0,14,13,25,44,17,5,32,10,32,9,38,10,44,14,15,15,14,13,19,19,21,19,15,19,0.0,0.0,4
209,22,10,32,14,22,11,53,17,17,12,18,17,24,21,21,16,35,42,44,17,60,12,37,9,39,13,36,13,23,17,20,19,20,19,22,18,19,14,0.0,6.78,4
212,13,8,16,6,32,9,19,10,16,10,11,12,20,19,13,12,33,33,13,5,40,11,19,4,24,12,42,11,12,0,12,12,16,17,17,15,14,0,0.0,0.0,4
213,11,10,10,10,32,10,32,9,32,13,15,14,18,17,14,16,29,40,32,8,44,12,36,11,36,12,50,14,14,17,15,16,17,19,21,19,17,18,0.0,5.93,4
216,13,8,15,10,23,9,43,11,14,13,19,20,20,20,17,15,36,34,32,10,45,13,32,9,40,12,43,16,19,15,18,19,23,18,22,18,21,14,0.0,5.89,4
217,13,6,17,6,9,12,33,11,23,14,19,20,20,20,18,17,41,42,25,5,44,8,32,8,42,8,49,13,18,19,18,18,18,18,21,19,20,18,0.0,0.0,4
222,13,10,19,12,43,16,22,11,22,14,19,14,20,19,19,21,36,44,19,7,40,10,32,7,32,8,36,11,15,13,17,18,18,19,22,21,21,19,0.0,0.0,4
224,32,15,32,15,32,11,20,9,17,10,23,17,18,20,22,22,47,47,43,12,33,13,41,11,32,14,39,14,22,23,18,12,20,18,21,20,0,0,0.0,6.37,4
276,18,1,32,5,22,8,19,9,19,8,17,18,15,17,19,11,42,40,36,10,38,11,38,11,36,10,41,13,19,16,19,16,21,17,19,18,20,20,0.0,6.0,4
277,32,7,6,3,14,5,32,9,23,8,18,17,14,17,20,13,35,34,40,13,41,14,35,10,40,13,41,14,19,18,19,18,19,16,19,18,18,18,0.0,6.3,4
301,18,9,17,5,42,9,19,3,32,8,23,18,21,17,20,15,43,42,38,9,41,11,44,13,44,13,41,11,20,17,22,19,23,20,23,18,21,21,0.0,6.63,4
319,17,8,20,7,19,9,32,8,32,9,23,19,21,17,19,14,37,39,35,8,38,10,37,9,35,8,43,13,22,17,21,16,21,16,23,20,20,20,0.0,5.74,4
326,10,2,18,5,23,9,35,10,21,5,23,19,19,16,19,13,37,40,40,12,37,10,34,8,36,9,39,11,18,15,18,15,18,14,22,18,19,19,0.0,5.89,4
