,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
0,77,17,52,18,62,20,53,18,53,17,24,23,24,22,24,24,48,46,9.08,0
1,77,19,57,18,68,20,58,18,60,18,23,23,23,22,24,24,44,46,9.54,0
6,76,18,69,18,52,20,56,20,57,16,23,20,23,22,23,23,42,46,9.23,0
7,73,11,66,13,53,17,60,18,50,17,23,22,23,22,23,22,41,46,8.92,0
35,76,16,58,13,64,17,55,15,68,16,23,22,23,21,22,24,39,45,9.38,0
46,68,18,68,18,55,19,50,18,68,17,22,20,23,23,23,23,42,44,9.23,0
55,73,14,59,18,45,19,69,17,64,17,20,21,21,23,23,23,45,48,9.38,0
65,73,17,65,11,67,20,55,19,66,19,19,24,22,22,22,23,45,48,9.54,0
71,80,19,67,17,70,20,64,20,69,17,23,24,23,23,24,24,45,45,10.0,0
81,70,13,54,19,61,20,51,19,63,14,24,24,23,22,24,23,44,46,9.23,0
82,63,17,60,17,65,20,55,17,58,16,24,23,20,20,24,22,47,47,9.23,0
90,75,15,45,13,71,18,55,12,54,16,22,21,21,22,22,21,42,43,8.62,0
115,62,18,66,17,65,20,64,18,69,20,24,22,24,23,24,24,48,48,10.0,0
123,80,18,68,17,59,18,62,15,66,20,21,22,23,22,24,24,41,40,9.69,0
125,64,15,64,14,71,13,53,13,58,14,20,20,20,21,23,21,43,40,8.88,0
126,68,17,61,14,68,20,52,13,68,18,24,22,20,20,24,24,47,47,9.38,0
128,69,17,70,14,57,19,61,13,67,20,19,20,21,22,24,24,47,47,9.5,0
129,73,17,61,15,66,16,66,11,65,19,20,21,20,19,22,22,44,42,9.65,0
134,77,18,70,12,69,20,68,13,57,17,21,22,22,21,24,24,41,42,9.69,0
136,56,17,61,18,66,18,64,16,48,19,23,20,18,20,23,21,45,46,8.96,0
138,62,16,67,15,70,19,57,12,50,15,21,20,19,20,23,23,44,42,8.85,0
142,68,18,73,16,51,20,68,17,62,17,22,21,24,21,24,23,46,41,9.54,0
143,76,14,63,13,70,19,63,11,46,15,19,18,20,19,24,21,38,39,8.88,0
144,72,19,65,16,71,16,67,12,55,18,21,20,20,21,24,23,46,46,9.54,0
146,58,16,66,15,72,16,53,15,49,18,21,20,23,22,24,21,44,45,8.69,0
147,77,19,73,19,71,17,61,17,54,17,22,21,24,23,23,21,44,42,9.54,0
150,64,15,74,15,68,18,68,10,47,20,21,21,16,19,23,20,45,45,9.12,0
153,66,17,72,13,68,17,53,11,47,15,20,21,19,19,22,22,40,38,8.96,0
165,44,12,72,16,72,16,59,12,55,19,19,21,20,20,24,24,46,42,8.62,0
173,63,18,70,15,67,20,54,12,53,20,22,22,21,23,24,24,47,44,9.23,0
179,77,19,69,16,75,19,70,12,59,17,24,21,21,20,21,20,45,43,9.85,0
180,75,19,74,17,76,19,60,11,50,17,21,21,20,20,20,19,43,44,9.19,0
182,67,16,56,16,67,18,63,14,61,19,24,22,21,20,23,22,47,46,9.54,0
185,64,17,76,14,70,20,67,16,55,16,19,21,24,23,23,17,46,43,9.69,0
188,67,14,60,17,57,19,64,16,58,18,23,22,24,22,21,23,45,47,9.54,0
196,71,12,63,9,78,17,53,15,58,16,19,22,23,21,20,23,44,44,8.92,0
199,67,18,63,17,74,18,62,14,52,14,18,21,22,20,20,23,45,45,9.35,0
204,69,12,63,10,55,20,57,9,63,14,19,18,18,19,22,21,44,41,8.77,0
219,62,20,64,17,71,20,55,16,68,18,23,22,24,22,22,19,46,46,9.69,0
232,60,19,72,15,67,17,63,16,52,16,24,23,24,23,24,20,48,45,9.19,0
233,78,20,70,18,79,18,73,20,70,20,21,21,21,23,21,21,41,42,10.0,0
236,62,17,68,15,75,19,65,18,63,18,23,20,24,22,24,18,47,44,9.81,0
245,70,20,64,16,67,17,66,16,57,16,22,18,22,18,23,21,42,47,9.69,0
246,61,16,59,14,72,17,59,16,46,14,23,20,23,19,24,20,48,45,8.88,0
247,80,20,71,17,71,19,65,18,61,20,24,23,23,22,24,23,48,48,10.0,0
248,74,19,64,16,73,16,66,18,66,16,22,18,23,20,24,22,48,48,10.0,0
249,62,17,66,15,67,16,55,15,70,18,22,18,23,21,24,24,49,48,9.5,0
250,80,20,69,18,72,19,72,19,70,18,24,20,24,21,23,19,40,44,10.0,0
251,73,20,67,11,72,15,69,15,58,16,24,20,23,21,23,19,42,44,9.54,0
252,71,20,69,17,77,14,70,16,64,18,24,20,22,22,23,15,42,46,9.96,0
253,68,18,69,16,79,17,62,15,62,15,24,21,20,19,23,20,41,48,9.65,0
260,64,16,66,15,66,18,55,13,53,19,24,21,20,21,24,23,44,42,9.23,0
261,66,17,69,12,74,13,65,14,49,12,23,19,22,20,23,13,42,38,9.31,0
262,53,15,70,16,63,14,64,17,45,16,21,23,20,20,21,23,41,48,8.81,0
264,61,17,61,17,70,17,53,13,51,19,24,21,23,32,24,23,47,48,8.88,0
266,76,18,69,16,67,14,59,16,61,20,24,21,20,19,23,17,42,48,9.81,0
268,80,20,78,19,78,19,68,19,65,20,24,23,22,23,24,20,49,46,10.0,0
273,66,14,61,11,71,18,60,11,59,15,18,20,19,21,21,24,44,46,9.04,0
