,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
7,73,11,66,13,53,17,60,18,50,17,23,22,23,22,23,22,41,46,8.92,12
28,62,17,58,14,54,19,62,16,53,15,21,18,20,21,21,23,39,43,8.54,12
125,64,15,64,14,71,13,53,13,58,14,20,20,20,21,23,21,43,40,8.88,12
132,68,19,55,17,59,16,55,13,48,18,24,22,22,22,24,24,45,40,8.62,12
136,56,17,61,18,66,18,64,16,48,19,23,20,18,20,23,21,45,46,8.96,12
138,62,16,67,15,70,19,57,12,50,15,21,20,19,20,23,23,44,42,8.85,12
143,76,14,63,13,70,19,63,11,46,15,19,18,20,19,24,21,38,39,8.88,12
146,58,16,66,15,72,16,53,15,49,18,21,20,23,22,24,21,44,45,8.69,12
150,64,15,74,15,68,18,68,10,47,20,21,21,16,19,23,20,45,45,9.12,12
153,66,17,72,13,68,17,53,11,47,15,20,21,19,19,22,22,40,38,8.96,12
173,63,18,70,15,67,20,54,12,53,20,22,22,21,23,24,24,47,44,9.23,12
186,69,12,59,15,67,17,54,15,39,16,22,22,23,23,20,23,44,45,8.62,12
188,67,14,60,17,57,19,64,16,58,18,23,22,24,22,21,23,45,47,9.54,12
199,67,18,63,17,74,18,62,14,52,14,18,21,22,20,20,23,45,45,9.35,12
232,60,19,72,15,67,17,63,16,52,16,24,23,24,23,24,20,48,45,9.19,12
235,60,13,64,14,56,11,59,11,54,16,21,18,19,18,23,23,45,40,8.27,12
238,73,17,58,11,60,14,56,16,42,19,22,18,20,17,23,18,43,44,8.38,12
246,61,16,59,14,72,17,59,16,46,14,23,20,23,19,24,20,48,45,8.88,12
255,60,14,61,13,55,16,60,7,42,14,23,21,20,18,23,22,41,46,7.88,12
260,64,16,66,15,66,18,55,13,53,19,24,21,20,21,24,23,44,42,9.23,12
261,66,17,69,12,74,13,65,14,49,12,23,19,22,20,23,13,42,38,9.31,12
262,53,15,70,16,63,14,64,17,45,16,21,23,20,20,21,23,41,48,8.81,12
263,66,19,56,10,56,13,65,10,52,11,24,19,21,18,23,17,37,38,8.35,12
264,61,17,61,17,70,17,53,13,51,19,24,21,23,32,24,23,47,48,8.88,12
278,70,18,67,12,53,13,50,17,47,15,24,21,23,21,24,19,46,48,8.46,12
280,63,13,68,16,60,16,56,11,49,13,19,20,16,17,20,23,42,46,8.58,12
284,65,17,64,15,57,17,62,16,41,12,24,22,22,22,23,21,44,45,8.77,12
290,66,19,57,15,62,17,59,16,50,13,23,19,23,20,24,17,48,48,8.92,12
292,65,20,72,14,71,13,68,13,39,11,24,21,22,20,22,23,43,44,9.38,12
301,63,18,68,12,55,14,60,16,59,16,24,22,22,22,22,24,47,48,9.23,12
316,69,20,73,17,54,18,70,18,52,13,24,22,24,22,24,23,44,48,9.23,12
