,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA,cluster
0,77,17,52,18,62,20,53,18,53,17,24,23,24,22,24,24,48,46,9.08,2
1,77,19,57,18,68,20,58,18,60,18,23,23,23,22,24,24,44,46,9.54,0
2,18,8,42,11,47,18,34,12,44,16,23,23,23,22,21,24,42,48,0.0,5
3,38,12,52,12,40,18,54,13,60,18,23,22,21,22,24,24,45,46,7.54,4
4,55,11,57,13,46,13,42,10,32,14,20,20,21,21,23,22,42,48,7.12,1
5,55,13,51,16,57,19,59,16,61,17,21,20,22,22,23,20,44,46,8.5,2
6,76,18,69,18,52,20,56,20,57,16,23,20,23,22,23,23,42,46,9.23,0
7,73,11,66,13,53,17,60,18,50,17,23,22,23,22,23,22,41,46,8.92,2
8,67,17,60,19,51,20,37,16,51,19,23,22,22,22,24,22,46,48,8.62,2
9,60,15,52,13,55,18,18,9,44,13,17,20,21,21,22,21,39,43,0.0,1
10,60,10,56,17,52,18,36,12,59,17,22,23,22,21,24,22,47,48,8.08,2
11,69,15,54,13,57,19,46,18,53,17,23,22,23,22,23,19,40,33,8.46,2
12,67,16,52,13,53,15,52,17,59,17,21,20,23,22,24,24,42,47,8.46,2
13,64,9,52,12,35,15,42,13,53,10,22,22,20,22,22,21,38,37,7.38,1
14,65,13,47,14,34,16,55,10,48,15,21,20,21,22,24,21,37,42,7.73,1
15,64,11,32,13,48,15,36,16,35,9,22,20,21,20,21,15,36,37,6.81,1
16,37,12,38,10,51,16,32,12,32,11,22,23,22,21,24,24,42,42,5.96,5
17,71,17,49,9,51,18,41,12,58,11,21,23,22,21,23,22,40,47,7.85,2
18,55,9,53,17,65,20,53,12,59,20,20,22,19,21,22,24,40,45,8.5,4
19,58,11,52,8,57,19,49,13,53,14,19,20,23,22,23,22,40,45,7.85,2
20,54,11,35,14,38,17,32,12,44,12,20,22,22,21,22,24,42,47,6.5,1
21,48,10,40,15,38,16,45,13,47,17,23,23,23,22,24,23,44,45,6.92,1
22,64,19,51,19,49,19,52,19,54,18,23,22,20,23,24,24,45,46,8.62,2
23,64,13,47,17,40,16,41,14,43,14,23,21,21,23,22,22,44,46,7.5,1
24,68,11,35,5,36,14,46,7,36,14,19,19,23,20,23,22,44,46,0.0,1
25,34,10,42,13,37,18,32,13,42,12,23,21,23,23,23,23,43,46,6.23,5
26,62,13,35,11,38,13,47,15,52,14,18,19,20,21,24,21,38,42,7.42,1
27,74,11,37,10,35,18,9,8,32,11,22,20,16,20,22,21,36,48,0.0,1
28,62,17,58,14,54,19,62,16,53,15,21,18,20,21,21,23,39,43,8.54,2
29,62,16,47,16,61,18,50,17,56,17,19,21,20,22,20,20,42,43,8.42,2
30,67,14,48,13,39,20,55,16,42,17,23,21,23,23,23,21,40,47,8.0,2
31,41,9,34,13,27,14,43,13,57,18,22,23,23,22,24,19,45,38,6.77,1
32,74,15,59,16,56,19,44,18,62,16,23,21,23,23,23,24,43,45,9.08,2
33,45,13,7,8,43,15,33,10,39,13,22,19,23,22,23,24,42,38,0.0,5
34,70,13,48,9,50,19,49,9,37,15,21,19,19,21,18,22,38,40,7.62,2
35,76,16,58,13,64,17,55,15,68,16,23,22,23,21,22,24,39,45,9.38,0
36,69,12,32,11,43,19,43,14,55,17,23,23,23,23,24,23,45,44,7.69,1
37,57,16,47,13,52,19,34,9,41,11,18,20,22,22,22,22,38,44,7.27,1
38,51,9,22,6,39,14,18,8,19,9,14,18,14,20,14,14,39,29,0.0,5
39,55,14,43,10,35,16,33,13,35,13,23,23,23,20,22,23,44,45,6.65,1
40,68,14,45,16,61,19,63,18,56,18,23,23,21,22,23,23,46,45,9.23,2
41,50,9,39,11,45,17,40,14,55,18,22,23,22,21,22,22,44,45,7.23,1
42,59,13,40,9,55,15,46,14,54,15,17,21,19,21,16,22,40,45,7.54,2
43,44,9,42,15,59,19,39,15,55,19,21,21,20,22,23,22,47,44,7.54,4
44,59,9,39,12,34,16,42,11,44,12,23,22,21,22,21,22,40,43,6.96,1
45,36,9,12,8,32,18,32,8,32,12,17,17,19,21,17,13,38,31,0.0,3
46,68,18,68,18,55,19,50,18,68,17,22,20,23,23,23,23,42,44,9.23,0
47,66,12,40,12,48,14,33,13,52,11,20,20,19,19,20,21,42,45,7.46,1
48,51,8,36,10,32,18,32,9,34,14,21,21,21,21,20,17,42,44,6.08,1
49,44,14,54,11,45,19,41,16,39,18,23,23,21,21,21,24,44,45,7.08,1
50,61,14,54,10,54,19,55,11,66,20,18,18,16,22,19,22,39,43,8.46,2
51,12,0,15,4,5,6,17,5,32,6,19,18,17,21,17,20,39,42,0.0,3
52,38,10,33,11,44,15,41,14,42,12,20,19,21,22,20,22,40,39,6.15,5
