,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA,cluster
0,77,17,52,18,62,20,53,18,53,17,24,23,24,22,24,24,48,46,9.08,2
5,55,13,51,16,57,19,59,16,61,17,21,20,22,22,23,20,44,46,8.5,2
7,73,11,66,13,53,17,60,18,50,17,23,22,23,22,23,22,41,46,8.92,2
8,67,17,60,19,51,20,37,16,51,19,23,22,22,22,24,22,46,48,8.62,2
10,60,10,56,17,52,18,36,12,59,17,22,23,22,21,24,22,47,48,8.08,2
11,69,15,54,13,57,19,46,18,53,17,23,22,23,22,23,19,40,33,8.46,2
12,67,16,52,13,53,15,52,17,59,17,21,20,23,22,24,24,42,47,8.46,2
17,71,17,49,9,51,18,41,12,58,11,21,23,22,21,23,22,40,47,7.85,2
19,58,11,52,8,57,19,49,13,53,14,19,20,23,22,23,22,40,45,7.85,2
22,64,19,51,19,49,19,52,19,54,18,23,22,20,23,24,24,45,46,8.62,2
28,62,17,58,14,54,19,62,16,53,15,21,18,20,21,21,23,39,43,8.54,2
29,62,16,47,16,61,18,50,17,56,17,19,21,20,22,20,20,42,43,8.42,2
30,67,14,48,13,39,20,55,16,42,17,23,21,23,23,23,21,40,47,8.0,2
32,74,15,59,16,56,19,44,18,62,16,23,21,23,23,23,24,43,45,9.08,2
34,70,13,48,9,50,19,49,9,37,15,21,19,19,21,18,22,38,40,7.62,2
40,68,14,45,16,61,19,63,18,56,18,23,23,21,22,23,23,46,45,9.23,2
42,59,13,40,9,55,15,46,14,54,15,17,21,19,21,16,22,40,45,7.54,2
50,61,14,54,10,54,19,55,11,66,20,18,18,16,22,19,22,39,43,8.46,2
53,62,13,63,13,60,18,45,16,62,19,23,22,23,22,21,23,42,44,9.04,2
58,73,13,61,11,50,18,44,16,49,14,19,23,21,21,21,20,47,45,8.31,2
59,68,12,56,12,45,13,51,17,56,14,22,23,22,21,22,21,44,44,8.15,2
60,76,14,56,14,48,16,53,14,62,18,23,21,22,21,22,22,46,47,8.77,2
67,78,18,55,20,50,19,45,17,64,20,24,24,20,22,23,23,44,48,8.92,2
70,56,11,36,18,61,20,46,11,52,19,22,21,20,22,22,24,46,47,7.88,2
73,62,13,53,11,45,16,45,10,52,14,21,23,19,21,23,21,44,45,7.81,2
75,73,15,54,19,56,19,51,17,63,15,24,23,23,22,22,22,46,40,8.92,2
76,75,17,54,14,56,18,43,14,62,13,20,19,22,22,21,20,42,38,8.42,2
77,69,16,41,17,56,20,44,14,63,17,23,23,21,22,22,24,44,47,8.62,2
81,70,13,54,19,61,20,51,19,63,14,24,24,23,22,24,23,44,46,9.23,2
87,64,15,57,16,66,19,50,17,52,16,24,24,22,23,21,22,43,44,8.58,2
88,69,13,46,15,60,16,41,13,47,11,23,22,20,21,22,19,44,44,8.15,2
90,75,15,45,13,71,18,55,12,54,16,22,21,21,22,22,21,42,43,8.62,2
93,70,15,53,13,62,19,41,12,56,15,23,23,18,22,20,22,41,45,8.62,2
95,55,12,47,14,48,15,48,17,61,15,24,23,20,23,22,24,45,48,7.88,2
97,69,18,52,19,58,18,40,16,64,19,24,23,19,23,23,24,45,47,8.92,2
102,62,12,48,17,48,18,46,14,43,15,24,21,20,22,22,17,45,45,7.58,2
130,64,18,54,14,52,17,48,12,67,17,20,21,20,22,24,18,48,42,8.62,2
132,68,19,55,17,59,16,55,13,48,18,24,22,22,22,24,24,45,40,8.62,2
133,59,13,46,8,51,14,49,13,47,19,21,22,19,20,22,20,43,38,7.58,2
141,69,19,56,11,58,16,53,13,47,18,20,20,20,21,24,23,46,43,8.31,2
145,68,14,50,13,49,18,43,11,49,20,21,20,20,18,24,24,48,42,7.96,2
151,59,19,32,15,60,18,65,11,51,16,22,21,19,19,23,21,45,41,8.23,2
174,62,10,71,16,62,20,33,8,58,15,16,13,18,22,20,20,47,44,8.23,2
176,60,12,62,11,57,17,52,13,53,15,20,20,21,21,22,21,45,42,8.08,2
186,69,12,59,15,67,17,54,15,39,16,22,22,23,23,20,23,44,45,8.62,2
204,69,12,63,10,55,20,57,9,63,14,19,18,18,19,22,21,44,41,8.77,2
229,60,13,64,14,56,11,59,11,54,16,21,18,19,18,23,23,45,40,8.27,2
232,73,17,58,11,60,14,56,16,42,19,22,18,20,17,23,18,43,44,8.38,2
233,60,14,50,10,48,9,53,16,45,15,21,20,20,19,22,20,45,46,7.58,2
235,74,13,39,11,59,10,50,14,41,13,22,20,20,18,20,14,40,44,7.69,2
248,61,15,61,13,60,12,37,14,55,14,24,20,22,18,23,19,40,33,7.96,2
249,60,14,61,13,55,16,60,7,42,14,23,21,20,18,23,22,41,46,7.88,2
257,66,19,56,10,56,13,65,10,52,11,24,19,21,18,23,17,37,38,8.35,2
261,61,17,53,12,52,17,51,10,43,13,21,20,20,20,23,17,44,34,7.73,2
266,59,16,44,9,68,17,55,15,38,11,21,20,23,21,24,16,47,44,8.12,2
269,67,19,45,17,72,18,34,12,57,15,24,22,22,22,24,23,49,46,8.46,2
272,70,18,67,12,53,13,50,17,47,15,24,21,23,21,24,19,46,48,8.46,2
274,63,13,68,16,60,16,56,11,49,13,19,20,16,17,20,23,42,46,8.58,2
