,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_4,cluster
0,73,20,68,18,64,19,60,19,52,18,24,25,24,22,23,22,24,24,23,23,9.56,0
1,75,19,54,17,58,18,63,19,43,18,19,24,23,23,21,22,23,24,24,23,9.21,0
2,40,18,42,12,36,14,35,12,32,14,21,21,23,21,20,18,23,21,23,19,6.46,5
3,45,15,60,13,58,17,58,16,35,16,24,21,23,21,24,18,23,23,24,22,8.11,1
4,45,15,39,11,20,12,35,13,34,8,19,23,21,18,22,17,21,19,22,18,0.0,5
5,56,15,61,19,57,16,60,20,52,15,23,10,22,20,23,20,21,20,22,20,8.89,2
6,75,20,72,19,59,17,58,20,57,18,24,21,21,18,23,20,21,21,22,17,9.54,0
7,70,19,73,18,58,16,63,18,55,16,23,21,21,18,20,17,21,21,22,19,9.3,0
8,68,16,63,19,40,19,54,19,43,16,24,21,20,20,23,22,23,21,22,18,8.62,2
9,63,15,51,12,43,11,53,12,37,8,17,20,20,21,20,16,20,21,22,15,7.3,4
10,33,14,55,17,43,14,44,14,22,14,22,21,23,23,24,19,22,23,24,23,0.0,1
11,67,14,73,18,53,18,53,17,45,17,18,19,21,18,22,17,22,21,22,18,8.81,0
12,58,18,57,15,55,17,62,16,49,16,20,21,22,18,21,19,21,21,23,21,8.73,2
13,59,19,70,14,55,16,62,16,52,12,16,19,20,21,19,20,21,22,18,18,8.63,0
14,71,11,66,11,62,14,63,16,49,15,17,17,17,16,22,21,21,21,21,14,8.95,0
15,61,14,47,9,58,14,54,16,35,12,17,17,20,20,18,16,19,20,21,14,7.37,1
16,61,17,59,14,44,17,54,15,47,15,20,24,21,20,22,20,21,20,23,19,8.29,2
17,70,18,68,17,72,16,62,16,58,12,21,21,23,23,20,20,19,20,20,24,9.52,0
18,59,19,65,16,56,18,60,20,53,13,17,24,20,20,23,20,22,20,20,21,9.17,0
19,73,19,66,18,66,20,63,20,55,19,22,23,21,20,23,21,20,21,20,18,9.63,0
20,52,12,45,12,52,20,52,16,34,16,18,23,19,18,19,18,20,21,21,22,7.44,1
21,55,18,51,15,49,17,45,14,39,18,22,21,20,21,22,19,19,22,24,24,7.58,1
22,69,20,63,18,63,19,65,20,62,19,23,21,21,22,22,19,20,22,23,21,10.0,0
23,61,20,58,17,57,16,61,16,47,16,21,24,19,22,19,16,20,23,21,22,8.89,2
24,65,17,55,14,54,15,58,16,50,15,19,18,21,18,22,18,19,20,21,22,8.26,2
25,51,15,54,16,53,17,40,19,35,15,22,23,19,19,22,19,20,20,23,20,7.73,1
26,63,16,60,18,67,20,58,18,54,20,18,21,20,20,21,18,18,21,19,20,9.1,0
27,73,14,38,11,43,7,32,13,32,8,19,21,19,20,14,14,14,19,21,18,6.8,4
28,71,20,60,16,59,16,61,20,50,16,17,21,18,18,18,18,14,19,20,19,9.03,0
29,75,19,67,17,64,17,59,19,62,19,18,23,20,20,18,17,14,19,18,19,9.54,0
30,53,18,60,18,63,18,63,19,62,19,20,24,20,21,23,20,18,20,21,20,9.54,2
31,57,17,55,12,45,18,38,17,39,15,20,19,22,22,21,19,20,20,24,21,7.52,1
32,74,19,63,18,57,18,57,18,45,18,21,21,19,17,23,18,18,19,24,23,9.19,0
33,52,18,46,18,42,15,49,16,41,18,22,19,21,21,23,19,18,20,20,21,7.54,1
34,59,17,52,13,36,15,54,15,32,13,19,23,18,19,21,18,20,19,20,18,7.54,4
