,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_4,cluster
0,73,20,68,18,64,19,60,19,52,18,24,25,24,22,23,22,24,24,23,23,9.56,0
1,75,19,54,17,58,18,63,19,43,18,19,24,23,23,21,22,23,24,24,23,9.21,0
6,75,20,72,19,59,17,58,20,57,18,24,21,21,18,23,20,21,21,22,17,9.54,0
7,70,19,73,18,58,16,63,18,55,16,23,21,21,18,20,17,21,21,22,19,9.3,0
11,67,14,73,18,53,18,53,17,45,17,18,19,21,18,22,17,22,21,22,18,8.81,0
13,59,19,70,14,55,16,62,16,52,12,16,19,20,21,19,20,21,22,18,18,8.63,0
14,71,11,66,11,62,14,63,16,49,15,17,17,17,16,22,21,21,21,21,14,8.95,0
17,70,18,68,17,72,16,62,16,58,12,21,21,23,23,20,20,19,20,20,24,9.52,0
18,59,19,65,16,56,18,60,20,53,13,17,24,20,20,23,20,22,20,20,21,9.17,0
19,73,19,66,18,66,20,63,20,55,19,22,23,21,20,23,21,20,21,20,18,9.63,0
22,69,20,63,18,63,19,65,20,62,19,23,21,21,22,22,19,20,22,23,21,10.0,0
26,63,16,60,18,67,20,58,18,54,20,18,21,20,20,21,18,18,21,19,20,9.1,0
28,71,20,60,16,59,16,61,20,50,16,17,21,18,18,18,18,14,19,20,19,9.03,0
29,75,19,67,17,64,17,59,19,62,19,18,23,20,20,18,17,14,19,18,19,9.54,0
32,74,19,63,18,57,18,57,18,45,18,21,21,19,17,23,18,18,19,24,23,9.19,0
35,77,20,72,16,62,17,61,18,50,13,21,21,20,20,23,20,20,21,23,21,9.19,0
37,66,17,69,18,50,17,58,17,47,13,24,23,17,16,22,17,19,21,21,20,8.89,0
40,73,20,63,17,53,15,60,20,48,17,23,21,18,17,22,19,19,20,22,22,9.0,0
42,73,17,62,15,64,12,62,16,59,16,21,21,22,22,16,15,16,19,20,21,9.15,0
44,73,19,69,15,58,15,51,17,45,15,19,21,14,15,23,18,19,19,21,20,8.88,0
46,75,19,62,19,61,17,59,20,55,17,23,23,18,18,21,21,20,19,22,21,9.37,0
49,71,14,68,15,63,18,60,18,57,19,22,21,18,19,22,18,19,20,22,21,9.67,0
50,72,20,61,19,59,16,59,18,61,18,22,19,23,18,18,15,18,19,20,23,9.3,0
53,76,20,60,18,65,20,62,19,60,19,22,23,20,20,23,19,19,21,22,22,9.7,0
55,68,16,66,18,64,18,56,20,58,18,22,23,14,16,22,20,15,22,20,20,9.73,0
65,76,16,62,19,65,19,59,20,59,20,21,24,21,21,18,20,22,21,17,23,9.77,0
66,64,17,64,13,53,17,59,17,65,20,20,21,21,20,18,20,22,21,15,20,9.22,0
75,57,19,70,14,67,17,65,18,57,20,22,20,20,19,20,17,21,22,18,16,9.37,0
76,67,18,56,12,67,16,60,17,61,17,22,23,20,20,21,18,21,23,18,15,8.96,0
77,68,18,60,15,58,16,64,18,59,20,23,25,18,19,21,16,23,23,19,23,9.33,0
81,64,20,62,17,67,18,59,17,65,20,22,21,19,21,22,17,22,23,19,22,9.67,0
82,77,20,62,16,71,19,52,11,65,20,21,22,19,21,21,18,22,24,22,23,9.37,0
87,63,18,73,16,66,18,67,17,58,20,22,21,19,19,23,18,21,22,20,19,9.78,0
88,66,20,65,14,63,14,57,12,53,17,21,21,23,21,22,15,20,21,21,21,8.85,0
90,68,18,73,14,62,12,59,12,57,16,20,23,20,19,22,16,21,20,19,18,8.93,0
