,Medu,Fedu,traveltime,studytime,failures,internship,freetime,goout,health,absences,GPA,sex_F,famsize_GT3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,extra_learning_yes,sports_yes,higher_yes,cluster
Medu,1.0,0.6474766091364943,-0.2650790028065538,0.09700583290488128,-0.17221028727762067,0.007593900093723193,-0.019686298242808004,0.009536493875243064,0.00461405599903089,-0.00857749477554601,-0.14260601950549182,-0.11912726112423733,0.01432484486326241,-0.3766364183646034,0.261214904401449,-0.22433532551803353,0.13027163018308952,0.4498465175526973,-0.0973125757560703,0.1555762582486316,-0.11755137713566997,-0.012575923370528855,0.2581362028322332,-0.04079243754256755,0.09156189535494651,-0.10112277843436215,0.11397284217695361,0.1193543383981275,0.2138963187215236,0.11451190833096463
Fedu,0.6474766091364943,1.0,-0.20828797848977137,0.05039964766444921,-0.16591500535547477,0.008338904500858712,0.006840631040532665,0.027689742855497433,0.04490978841531237,0.029858663975560834,-0.12464769961271176,-0.08391345025661968,0.03953761772862918,-0.19823982964413375,0.1407892632648708,-0.1979740754008541,0.1043682665535633,0.31212968804276675,-0.10757534286708494,0.22708086889707674,-0.21644749878607902,0.026574525059262732,0.3488744858191272,0.08615790813782136,-0.04444972526781421,-0.06668389524039263,0.0946280666325231,0.07969978465800025,0.19173539497718745,0.06556722228655905
traveltime,-0.2650790028065538,-0.20828797848977137,1.0,-0.0631539042461471,0.09772975012846269,0.016448980826603916,0.0009367341272307849,0.05745419566943,-0.04826120642527853,-0.008149087354862115,0.14466488378893716,-0.04088009370113962,-0.012794242478473128,0.1737717814182226,-0.10460611374285653,0.034973384071778836,-0.07249702127999753,-0.09796125250304284,-0.0408539959292798,-0.08998112126366556,0.10112068806161416,-0.031739910811483786,-0.04020888025113922,0.019454774766843753,-0.06613049205350294,0.09049684636209743,-0.044842409407880694,-0.03337584846215363,-0.0719584776697003,-0.1231244415940178
studytime,0.09700583290488128,0.05039964766444921,-0.0631539042461471,1.0,-0.14744054515158297,0.011450320923602032,-0.0688292221808394,-0.07544221085456852,-0.056432693511126106,-0.11838937011024397,-0.06371568079194354,0.20621377427669288,0.010944766778162989,-0.039568615786138246,-0.01897841695654282,-0.004219935164399394,0.029368988783040124,0.035469293154504686,-0.008219671395346967,0.09647094361505748,-0.03582637345059283,0.014715973808391554,-0.02033483360792698,0.01580407501800269,-0.018076307640268796,0.006440392769432123,-0.002314050077398931,0.07008025366857677,0.18825573167968218,0.21859844981794055
failures,-0.17221028727762067,-0.16591500535547477,0.09772975012846269,-0.14744054515158297,1.0,-0.037106213686968786,0.10899462179242313,0.04507777595307839,0.03558821278366823,0.12277883526082042,0.06822571714317248,-0.07388801154828757,0.06606810590764342,0.09635784472990634,-0.0163906014297685,-0.0013012542656317175,0.011651634134941927,-0.1239454820476139,0.03889201392275805,-0.05768771744273117,0.04494037290551038,-0.0067250580235393535,-0.07935221926475687,-0.07316485505339462,-0.056527066912008685,0.23402724472477798,0.06941572189052464,0.0005609611739085915,-0.3094002108077697,-0.0607836883301057
internship,0.007593900093723193,0.008338904500858712,0.016448980826603916,0.011450320923602032,-0.037106213686968786,1.0,0.030804102285167247,0.012968636658051327,-0.09071038148587131,0.02509221091098654,-0.016598008835950032,0.004510534381499648,-0.08137232823277386,-0.0013701279834319145,0.005001298197677047,-0.004978585397224329,-0.015385338231810649,0.02529911743899671,0.039101649835253174,-0.03031131338412713,-0.032609318365329355,0.03157048557986052,-0.008778640533981353,0.029207069944849576,-0.008288795016946557,-0.035362692016121924,-0.055306294835771715,0.07054935289173077,-0.016616060429665375,-0.0010237884879233676
freetime,-0.019686298242808004,0.006840631040532665,0.0009367341272307849,-0.0688292221808394,0.10899462179242313,0.030804102285167247,1.0,0.34635178804693684,0.08452642601918962,-0.018716028242381316,-0.018277115484779834,-0.14630503002645592,0.021256912224050576,-0.0229065374412682,-0.02047966647552719,-0.01952002822706769,0.012552478399756579,0.060820744846428715,0.032370009939269855,-0.02496627980305272,0.03799626039419681,-0.05113240343816848,0.003268855224946035,-0.04348825706582054,0.022348952199501275,0.03382258882207257,-0.0495742744013463,0.15032890259020415,-0.1026175099860004,0.02916778600023747
goout,0.009536493875243064,0.027689742855497433,0.05745419566943,-0.07544221085456852,0.04507777595307839,0.012968636658051327,0.34635178804693684,1.0,-0.015741131042270737,0.08537382666952786,0.03278417033038222,-0.058178374868028716,0.00431240411421776,-0.038650075946162,0.04071637690011885,0.008832461684011174,0.0446425578561233,-0.05559411190061223,-0.014743977905069244,0.026581635300565672,0.0400619956054701,-0.027685871717623114,-0.03813919027405292,-0.05651104970830179,0.04260248787724976,0.018432438495645513,-0.006683355062494001,0.08858158179177734,-0.06910547880773148,-0.18268588696216473
health,0.00461405599903089,0.04490978841531237,-0.04826120642527853,-0.056432693511126106,0.03558821278366823,-0.09071038148587131,0.08452642601918962,-0.015741131042270737,1.0,-0.03023486448840083,-0.03689334871415737,-0.13954693828178158,-0.002447621488615167,-0.07457264380095067,0.029585822279037954,-0.033425224625737354,0.07093116891832864,0.03188855665633124,-0.04559514285753936,0.09611691080758798,0.04777504661752881,-0.07620927220641718,0.01721840105889457,-0.015172025795779932,0.009373691761802097,0.008832997043074865,0.06320268926052336,0.013000559300126594,0.017289656395672037,-0.04573311838971429
absences,-0.00857749477554601,0.029858663975560834,-0.008149087354862115,-0.11838937011024397,0.12277883526082042,0.02509221091098654,-0.018716028242381316,0.08537382666952786,-0.03023486448840083,1.0,0.001594305140149087,-0.02133579689017209,-0.0046451278001663696,-0.009847747092674919,-0.0947864026975397,0.02638130881768022,0.07128331815017978,-0.041772832240347765,0.04497769692891653,-0.025462544438843212,0.02679458405778124,-0.0350948022968179,-0.017044122020832123,-0.09464224672546363,0.005036125389934786,0.1556539719745051,-0.03595938917976094,-0.015115128879176803,-0.12989142132387663,-0.04252600668735056
