"Timestamp","OOPM","AM_3","DS","DLDA","DIS","ECCF","DLDA_Lab","DS_Lab","OOPM_Lab","ECCF_Lab","AM_3_Tutorial"
"2021/10/02 3:18:15 pm GMT+5:30","65.4","48.84","72.5","66.667","74","73.33","85.7","80","100","100","88"
"2021/10/02 3:19:01 pm GMT+5:30","80.8","76.74","77.5","80","76","77.78","85.7","60","80","100","63"
"2021/10/02 3:25:48 pm GMT+5:30","80.769","81.395","90","93.333","84.78","91.11","100","90","90","75","87.5"
"2021/10/02 3:28:17 pm GMT+5:30","84.615","79.07","82.5","77.778","91.3","71.11","85.71","100","100","75","87.5"
"2021/10/02 3:30:00 pm GMT+5:30","100","79.07","75","88.889","86.96","84.44","100","90","100","87.5","87.5"
"2021/10/02 3:30:39 pm GMT+5:30","92.308","79.07","87.5","97.778","95.65","91.11","100","80","100","87.5","87.5"
"2021/10/02 3:33:35 pm GMT+5:30","88.462","86.047","85","97.778","91.3","95.56","100","80","100","100","100"
"2021/10/02 3:34:17 pm GMT+5:30","92.308","67.442","70","88.889","89.13","75.56","100","90","100","87.5","100"
"2021/10/02 3:34:58 pm GMT+5:30","84.615","72.093","72.5","80","75.74","73.33","100","90","100","75","62.5"
"2021/10/02 3:35:35 pm GMT+5:30","65.385","44.186","70","66.667","50","68.89","71.43","100","100","75","100"
"2021/10/02 3:36:16 pm GMT+5:30","73.077","69.767","87.5","95.556","95.65","86.67","85.71","90","100","100","87.5"
"2021/10/02 3:36:52 pm GMT+5:30","65.385","51.163","57.5","60","60.87","64.44","71.43","90","100","75","75"
"2021/10/02 3:37:40 pm GMT+5:30","69.231","58.14","60","71.111","60.87","71.11","71.43","80","100","62.5","87.5"
"2021/10/02 3:38:21 pm GMT+5:30","65.385","39.535","72.5","66.667","67.39","68.89","100","90","100","87.5","75"
"2021/10/02 3:39:13 pm GMT+5:30","57.692","51.163","65","71.111","69.57","75.56","85.71","80","90","87.5","75"
"2021/10/02 3:40:16 pm GMT+5:30","69.231","46.512","67.5","68.889","63.04","60","100","90","100","87.5","87.5"
"2021/10/02 3:40:50 pm GMT+5:30","73.077","55.814","65","80","71.74","75.56","85.71","100","80","75","75"
"2021/10/02 3:41:23 pm GMT+5:30","76.92","34.884","62.5","60","54.35","51.11","71.43","80","90","75","37.5"
"2021/10/02 3:42:15 pm GMT+5:30","53.846","60.465","80","73.333","78.26","77.78","85.71","90","63.64","100","87.5"
"2021/10/02 3:43:01 pm GMT+5:30","92.308","74.419","80","86.667","82.61","84.44","100","80","90.91","90","100"
"2021/10/02 3:43:42 pm GMT+5:30","88.462","60.465","67.5","77.778","67.39","71.11","71.43","90","90.91","100","100"
"2021/10/02 3:44:25 pm GMT+5:30","84.615","86.047","92.5","95.556","97.83","91.11","100","90","90.91","100","100"
"2021/10/02 3:46:03 pm GMT+5:30","80.769","69.767","77.5","88.889","78.26","82.22","100","80","81.82","90","75"
"2021/10/02 3:46:40 pm GMT+5:30","80.769","72.093","82.5","80","84.78","82.22","85.71","90","90.91","100","100"
"2021/10/02 3:47:27 pm GMT+5:30","76.923","72.093","80","88.889","84.78","80","100","80","72.73","100","62.5"
"2021/10/02 3:48:49 pm GMT+5:30","65.385","48.837","62.5","64.444","67.39","64.44","71.43","90","63.64","90","37.5"
"2021/10/02 3:50:33 pm GMT+5:30","69.231","58.14","80","71.111","63.04","62.22","85.71","80","81.82","90","50"
"2021/10/02 3:51:10 pm GMT+5:30","73.077","46.512","62.5","68.889","67.39","62.22","71.43","90","72.73","90","75"
"2021/10/02 3:52:08 pm GMT+5:30","76.923","51.163","52.5","80","60.87","64.44","71.43","80","63.64","80","62.5"
"2021/10/02 3:52:49 pm GMT+5:30","80.769","69.767","85","88.889","91.3","86.67","100","90","81.82","100","100"
"2021/10/02 3:53:25 pm GMT+5:30","92.308","81.395","90","77.778","84.78","84.44","100","100","90.91","100","62.5"
"2021/10/02 3:54:19 pm GMT+5:30","88.462","90.698","92.5","95.556","97.83","93.33","100","90","100","100","100"
"2021/10/02 3:55:01 pm GMT+5:30","69.231","62.791","80","84.444","76.09","82.22","85.71","100","90.91","90","100"
"2021/10/02 3:55:45 pm GMT+5:30","76.923","55.814","75","73.333","76.09","73.33","100","70","81.82","100","100"
"2021/10/02 3:56:48 pm GMT+5:30","88.461","69.767","82.5","86.667","80.43","82.22","100","90","90.91","100","87.5"
"2021/10/02 3:57:54 pm GMT+5:30","88.461","93.023","100","100","100","93.33","100","100","100","100","100"
"2021/10/02 3:58:26 pm GMT+5:30","82.609","65.116","75","80","76.09","91.11","100","90","90.91","90","87.5"
"2021/10/02 3:59:20 pm GMT+5:30","46.154","39.535","55","60","54.348","55.556","90","81.818","58.333","50","62.5"
"2021/10/02 4:00:07 pm GMT+5:30","96.154","86.047","87.5","93.333","95.652","93.333","100","100","100","66.667","66.67"
"2021/10/02 4:02:20 pm GMT+5:30","84.615","81.395","85","93.3333","78.261","91.111","100","100","100","75","100"
"2021/10/02 4:02:56 pm GMT+5:30","73.077","60.465","75","73.333","76.087","84.444","100","100","100","50","66.67"
"2021/10/02 4:03:28 pm GMT+5:30","50","41.86","55","68.889","52.174","62.222","80","72.727","83.333","33.333","66.67"
"2021/10/02 4:04:15 pm GMT+5:30","69.231","55.814","67.5","66.667","69.565","62.222","100","72.727","83.333","58.333","33.33"
"2021/10/02 4:04:59 pm GMT+5:30","65.385","69.767","82.5","86.667","78.261","75.556","100","90.909","91.667","66.667","100"
"2021/10/02 4:05:45 pm GMT+5:30","80.769","60.465","72.5","66.667","67.391","71.111","80","63.636","66.667","58.333","33.33"
"2021/10/02 4:38:06 pm GMT+5:30","84.615","81.395","85","95.556","78.261","84.444","100","90.909","83.333","75","100"
"2021/10/02 4:39:13 pm GMT+5:30","65.385","79.07","72.5","77.778","78.261","75.556","100","100","91.667","58.333","66.67"
"2021/10/02 4:39:56 pm GMT+5:30","65.385","55.814","65","66.667","52.174","64.444","80","81.818","91.667","50","66.67"
"2021/10/02 4:40:37 pm GMT+5:30","84.615","74.419","80","88.889","86.957","86.667","90","90.909","83.333","50","66.67"
"2021/10/02 4:41:30 pm GMT+5:30","73.077","58.14","57.5","66.667","58.696","64.444","80","72.727","91.667","58.333","33.33"
"2021/10/02 4:42:18 pm GMT+5:30","65.385","58.14","62.5","77.778","63.043","64.444","80","72.727","91.667","58.333","33.33"
"2021/10/02 4:43:14 pm GMT+5:30","73.077","65.116","57.5","71.111","71.739","57.778","100","100","83.333","75","0"
"2021/10/02 4:47:17 pm GMT+5:30","88.462","81.395","80","91.111","84.783","82.222","100","90.909","83.333","66.667","100"
"2021/10/02 4:47:50 pm GMT+5:30","76.923","60.465","65","71.111","58.696","71.111","100","72.727","91.667","50","66.67"
"2021/10/02 4:48:28 pm GMT+5:30","76.923","51.163","60","71.111","73.913","68.889","88.889","90.909","91.667","66.667","100"
"2021/10/02 4:49:04 pm GMT+5:30","65.385","55.814","50","64.444","85.294","51.111","100","72.717","83.333","41.667","33.33"
"2021/10/02 4:56:49 pm GMT+5:30","82.609","91.3","78.571","87","95.6","87.234","100","100","100","81.82","75"
"2021/10/02 4:57:19 pm GMT+5:30","82.609","52.2","83.333","89","77.8","78.723","80","80","100","63.64","75"
"2021/10/02 4:57:47 pm GMT+5:30","78.261","76.1","83.333","82","88.9","85.106","100","100","90","90.91","87.5"
"2021/10/02 4:59:36 pm GMT+5:30","69.565","84.8","83.333","89","86.7","85.106","100","90","100","90.91","87.5"
"2021/10/02 5:00:04 pm GMT+5:30","78.261","76.1","88.095","87","80","72.34","80","90","90","45.45","62.5"
"2021/10/02 5:00:29 pm GMT+5:30","86.957","80.4","88.095","80","91.1","85.106","90","100","100","81.82","87.5"
"2021/10/02 5:00:55 pm GMT+5:30","65.217","76.1","76.19","80","86.7","82.979","100","100","90","90.91","87.5"
"2021/10/02 5:01:26 pm GMT+5:30","86.957","73.9","83.333","80","82.2","87.234","100","100","90","90.91","75"
"2021/10/02 5:02:02 pm GMT+5:30","69.565","56.5","90.476","76","84.4","82.979","90","80","90","81.82","87.5"
"2021/10/02 5:02:32 pm GMT+5:30","86.957","73.9","85.714","78","93.3","85.106","100","80","100","81.82","100"
"2021/10/02 5:04:45 pm GMT+5:30","82.609","91.3","92.857","84","91.1","91.489","90","100","90","90.91","100"
"2021/10/02 5:05:40 pm GMT+5:30","73.913","65.2","76.19","80","75.6","78.723","100","90","80","81.82","100"
"2021/10/02 5:06:10 pm GMT+5:30","86.957","89.1","90.476","93","91.1","89.362","100","100","90","100","87.5"
"2021/10/02 5:08:37 pm GMT+5:30","78.261","71.7","78.571","82","95.6","82.979","100","100","100","90.91","87.5"
"2021/10/02 5:09:06 pm GMT+5:30","78.261","84.8","92.857","93","91.1","89.362","90","90","90","63.64","100"
"2021/10/02 5:09:36 pm GMT+5:30","78.261","89.1","92.857","98","91.1","93.617","90","100","100","90.91","87.5"
"2021/10/02 5:10:48 pm GMT+5:30","73.913","84.8","88.095","91","91.1","80.851","90","100","90","90.91","87.5"
"2021/10/02 5:11:55 pm GMT+5:30","73.913","84.8","88.095","91","91.1","80.851","90","100","90","90.91","87.5"
"2021/10/02 5:12:20 pm GMT+5:30","86.957","76.1","83.333","87","77.8","80.851","90","90","90","81.82","100"
"2021/10/02 5:12:48 pm GMT+5:30","86.957","84.8","92.857","93","95.6","91.489","100","90","100","90.91","87.5"
"2021/10/02 5:14:54 pm GMT+5:30","78.261","52.2","85.714","91","84.4","87.234","100","80","100","91.67","75"
"2021/10/02 5:15:23 pm GMT+5:30","91.304","95.7","95.238","96","95.6","93.617","90","90","100","91.67","100"
"2021/10/02 5:16:21 pm GMT+5:30","65.217","65.2","78.571","73","82.2","78.723","100","80","88.89","83.33","62.5"
"2021/10/02 5:18:06 pm GMT+5:30","60.869","60.9","88.095","80","75.6","85.106","90","80","88.89","100","100"
"2021/10/02 5:18:34 pm GMT+5:30","60.87","71.7","85.714","84","82.2","89.362","100","90","100","100","87.5"
"2021/10/02 5:19:04 pm GMT+5:30","86.957","78.3","85.714","89","75.6","95.745","90","90","100","83.33","87.5"
"2021/10/02 5:19:46 pm GMT+5:30","60.87","60.9","88.095","82","84.4","95.745","100","80","77.78","91.67","100"
"2021/10/02 5:21:33 pm GMT+5:30","86.957","84.8","90.476","89","93.3","97.872","90","100","100","100","87.5"
"2021/10/02 5:52:58 pm GMT+5:30","65.217","76.1","88.095","91","82.2","82.979","80","100","88.89","91.67","87.5"
"2021/10/02 5:54:02 pm GMT+5:30","56.522","50","57.143","87","55.6","51.064","100","60","77.78","66.67","37.5"
"2021/10/02 5:54:53 pm GMT+5:30","65.217","76.1","71.429","78","68.9","76.596","100","90","88.89","91.67","87.5"
"2021/10/02 5:56:13 pm GMT+5:30","78.261","89.1","88.095","93","95.6","95.745","90","90","100","100","87.5"
"2021/10/02 5:56:44 pm GMT+5:30","69.565","76.1","78.571","73","82.2","82.979","100","80","100","91.67","87.5"
"2021/10/02 5:57:16 pm GMT+5:30","78.261","67.4","83.333","89","88.9","85.106","100","90","100","100","75"
"2021/10/02 5:57:49 pm GMT+5:30","73.913","73.9","83.333","87","86.7","74.468","90","100","100","100","100"
"2021/10/02 5:58:42 pm GMT+5:30","82.609","97.8","95.238","91","95.6","78.723","80","100","88.89","100","87.5"
"2021/10/02 5:59:20 pm GMT+5:30","39.13","50","40.476","80","48.9","38.298","70","50","55.56","41.67","50"
"2021/10/02 5:59:49 pm GMT+5:30","52.174","60.9","80.952","82","75.6","70.213","100","90","100","91.67","100"
"2021/10/02 6:00:22 pm GMT+5:30","82.609","87","83.333","80","95.6","91.489","100","90","88.89","91.67","87.5"
