"Timestamp","AM_3","DLDA","DSGT","ECCF","DS","DLDA_Lab","BE_Lab","DS_Lab","OOPM_Lab","GPA_SEMIII"
"2021/10/02 11:59:49 am GMT+5:30","94","70","82","71","70","47","46","48","94","9.08"
"2021/10/02 12:00:50 pm GMT+5:30","96","75","88","76","78","46","45","48","90","9.54"
"2021/10/02 12:02:15 pm GMT+5:30","26","53","65","46","60","46","45","45","90","0"
"2021/10/02 12:02:42 pm GMT+5:30","50","64","58","67","78","45","43","48","91","7.54"
"2021/10/02 12:03:06 pm GMT+5:30","66","70","59","52","46","40","42","45","90","7.12"
"2021/10/02 12:03:47 pm GMT+5:30","68","67","76","75","78","41","44","43","90","8.5"
"2021/10/02 12:04:12 pm GMT+5:30","94","87","72","76","73","43","45","46","88","9.23"
"2021/10/02 12:04:42 pm GMT+5:30","84","79","70","78","67","45","45","45","87","8.92"
"2021/10/02 12:05:08 pm GMT+5:30","84","79","71","53","70","45","44","46","94","8.62"
"2021/10/02 12:05:36 pm GMT+5:30","75","65","73","27","57","37","42","43","82","0"
"2021/10/02 12:06:07 pm GMT+5:30","70","73","70","48","76","45","43","46","95","8.08"
"2021/10/02 12:06:33 pm GMT+5:30","84","67","76","64","70","45","45","42","73","8.46"
"2021/10/02 12:08:04 pm GMT+5:30","83","65","68","69","76","41","45","48","89","8.46"
"2021/10/02 12:08:34 pm GMT+5:30","73","64","50","55","63","44","42","43","75","7.38"
"2021/10/02 12:09:30 pm GMT+5:30","78","61","50","65","63","41","43","45","79","7.73"
"2021/10/02 12:10:02 pm GMT+5:30","75","45","63","52","44","42","41","36","73","6.81"
"2021/10/02 12:10:24 pm GMT+5:30","49","48","67","44","43","45","43","48","84","5.96"
"2021/10/02 12:10:48 pm GMT+5:30","88","58","69","53","69","44","43","45","87","7.85"
"2021/10/02 12:11:10 pm GMT+5:30","64","70","85","65","79","42","40","46","85","8.5"
"2021/10/02 12:11:36 pm GMT+5:30","69","60","76","62","67","39","45","45","85","7.85"
"2021/10/02 12:13:35 pm GMT+5:30","65","49","55","44","56","42","43","46","89","6.5"
"2021/10/02 12:13:57 pm GMT+5:30","58","55","54","58","64","46","45","47","89","6.92"
"2021/10/02 12:14:17 pm GMT+5:30","83","70","68","71","72","45","43","48","91","8.62"
"2021/10/02 12:14:47 pm GMT+5:30","77","64","56","55","57","44","44","44","90","7.5"
"2021/10/02 12:15:15 pm GMT+5:30","79","40","50","53","50","38","43","45","90","0"
"2021/10/02 12:16:34 pm GMT+5:30","44","55","55","45","54","44","46","46","89","6.23"
"2021/10/02 12:16:56 pm GMT+5:30","75","46","51","62","66","37","41","45","80","7.42"
"2021/10/02 12:18:00 pm GMT+5:30","85","47","53","17","43","42","36","43","84","0"
"2021/10/02 12:18:23 pm GMT+5:30","79","72","73","78","68","39","41","44","82","8.54"
"2021/10/02 12:18:43 pm GMT+5:30","78","63","79","67","73","40","42","40","85","8.42"
"2021/10/02 12:19:07 pm GMT+5:30","81","61","59","71","59","44","46","44","87","8"
"2021/10/02 12:19:30 pm GMT+5:30","55","47","41","56","75","45","45","43","83","6.77"
"2021/10/02 12:19:52 pm GMT+5:30","89","75","75","62","78","44","46","47","88","9.08"
"2021/10/02 12:20:15 pm GMT+5:30","58","15","58","43","52","41","45","47","80","0"
"2021/10/02 12:20:40 pm GMT+5:30","83","57","69","58","52","40","40","40","78","7.62"
"2021/10/02 12:21:09 pm GMT+5:30","92","71","81","70","84","45","44","46","84","9.38"
"2021/10/02 12:21:51 pm GMT+5:30","81","43","62","57","72","46","46","47","89","7.69"
"2021/10/02 12:22:16 pm GMT+5:30","73","60","71","43","52","38","44","44","82","7.27"
"2021/10/02 12:22:37 pm GMT+5:30","60","28","53","26","28","32","36","28","68","0"
"2021/10/02 12:23:01 pm GMT+5:30","69","53","51","46","48","46","43","45","89","6.65"
"2021/10/02 12:23:28 pm GMT+5:30","82","61","80","81","74","46","43","46","91","9.23"
"2021/10/02 12:23:50 pm GMT+5:30","59","50","62","54","73","45","43","44","89","7.23"
"2021/10/02 12:24:15 pm GMT+5:30","72","49","70","60","69","38","40","38","85","7.54"
"2021/10/02 12:24:46 pm GMT+5:30","53","57","78","54","74","42","42","45","91","7.54"
"2021/10/02 12:25:07 pm GMT+5:30","68","51","50","53","56","45","43","43","83","6.96"
"2021/10/02 12:26:33 pm GMT+5:30","45","20","50","40","44","34","40","30","69","0"
"2021/10/02 12:26:57 pm GMT+5:30","86","86","74","68","85","42","46","46","86","9.23"
"2021/10/02 12:27:23 pm GMT+5:30","78","52","62","46","63","40","38","41","87","7.46"
"2021/10/02 12:28:10 pm GMT+5:30","59","46","50","41","48","42","42","37","86","6.08"
"2021/10/02 12:28:29 pm GMT+5:30","58","65","64","57","57","46","42","45","89","7.08"
"2021/10/02 12:29:00 pm GMT+5:30","75","64","73","66","86","36","38","41","82","8.46"
"2021/10/02 12:29:20 pm GMT+5:30","12","21","11","22","38","37","38","37","81","0"
"2021/10/02 12:29:44 pm GMT+5:30","48","44","59","55","54","39","43","42","79","6.15"
"2021/10/02 12:30:15 pm GMT+5:30","75","76","78","61","81","45","45","44","86","9.04"
"2021/10/02 12:30:37 pm GMT+5:30","55","46","51","44","57","39","38","36","84","6.15"
"2021/10/02 12:32:10 pm GMT+5:30","87","76","64","86","81","41","44","46","93","9.38"
"2021/10/02 12:32:30 pm GMT+5:30","64","55","52","56","56","37","36","29","74","6.5"
"2021/10/02 12:32:49 pm GMT+5:30","40","60","50","48","43","45","44","40","92","6.08"
"2021/10/02 12:33:10 pm GMT+5:30","86","72","68","60","63","42","42","41","92","8.31"
"2021/10/02 12:33:33 pm GMT+5:30","80","68","58","68","70","45","43","43","88","8.15"
"2021/10/02 12:33:55 pm GMT+5:30","90","70","64","67","90","44","43","44","93","8.77"
"2021/10/02 12:34:15 pm GMT+5:30","19","46","48","27","40","44","40","40","85","0"
"2021/10/02 12:34:37 pm GMT+5:30","71","65","62","45","54","45","42","43","92","7.31"
"2021/10/02 12:35:10 pm GMT+5:30","64","62","62","55","43","41","41","41","91","6.96"
"2021/10/02 12:35:57 pm GMT+5:30","67","57","54","42","78","43","38","42","87","7.08"
"2021/10/02 12:36:27 pm GMT+5:30","90","76","87","74","85","43","44","45","93","9.54"
"2021/10/02 12:36:50 pm GMT+5:30","83","71","89","79","66","42","44","44","84","9.08"
"2021/10/02 12:37:24 pm GMT+5:30","96","75","69","62","84","48","42","46","92","8.92"
"2021/10/02 12:37:53 pm GMT+5:30","77","51","63","56","56","43","43","44","92","7.5"
"2021/10/02 12:38:17 pm GMT+5:30","51","48","45","46","64","48","41","45","92","6.46"
"2021/10/02 12:39:02 pm GMT+5:30","67","54","81","56","71","43","42","46","93","7.88"
"2021/10/02 12:39:24 pm GMT+5:30","99","84","90","84","86","47","46","48","90","10"
"2021/10/02 12:40:41 pm GMT+5:30","48","59","68","60","52","44","43","38","92","6.85"
"2021/10/02 12:41:01 pm GMT+5:30","75","64","61","55","66","44","40","44","89","7.81"
"2021/10/02 12:41:51 pm GMT+5:30","65","53","55","43","52","42","41","41","81","6.65"
"2021/10/02 12:42:47 pm GMT+5:30","88","73","75","68","78","47","45","44","86","8.92"
"2021/10/02 12:43:40 pm GMT+5:30","92","68","74","57","75","39","44","41","80","8.42"
"2021/10/02 12:44:15 pm GMT+5:30","85","58","76","58","80","46","43","46","91","8.62"
"2021/10/02 12:45:00 pm GMT+5:30","64","33","61","42","61","33","39","43","87","6.5"
"2021/10/02 12:45:42 pm GMT+5:30","62","62","76","58","85","40","42","37","74","7.96"
"2021/10/02 12:46:50 pm GMT+5:30","44","46","56","43","50","37","42","43","83","5.85"
"2021/10/02 12:47:13 pm GMT+5:30","83","73","81","70","77","48","45","47","90","9.23"
"2021/10/02 12:47:39 pm GMT+5:30","80","77","85","72","74","47","40","46","94","9.23"
"2021/10/02 12:48:26 pm GMT+5:30","59","49","74","58","64","48","44","45","92","7.08"
"2021/10/02 12:48:58 pm GMT+5:30","54","40","51","39","41","32","40","35","86","5.65"
"2021/10/02 12:49:45 pm GMT+5:30","58","40","55","48","37","40","37","35","86","5.85"
"2021/10/02 12:50:12 pm GMT+5:30","57","50","60","47","55","41","41","40","72","6.62"
"2021/10/02 12:51:07 pm GMT+5:30","79","73","85","67","68","48","45","43","87","8.58"
"2021/10/02 12:51:37 pm GMT+5:30","82","61","76","54","58","45","41","41","88","8.15"
"2021/10/02 12:52:11 pm GMT+5:30","60","47","60","47","64","43","42","43","88","6.96"
"2021/10/02 12:53:38 pm GMT+5:30","90","58","89","67","70","43","43","43","85","8.62"
"2021/10/02 12:54:19 pm GMT+5:30","70","53","65","56","56","44","43","44","84","7.31"
"2021/10/02 12:55:20 pm GMT+5:30","62","35","60","52","40","33","35","39","84","6.27"
"2021/10/02 12:55:45 pm GMT+5:30","85","66","81","53","71","46","40","42","86","8.62"
"2021/10/02 12:56:31 pm GMT+5:30","74","52","67","46","56","44","42","42","84","7.15"
"2021/10/02 12:57:48 pm GMT+5:30","67","61","63","65","76","47","43","46","93","7.88"
"2021/10/02 12:58:12 pm GMT+5:30","40","40","42","44","39","36","39","40","90","5.04"
"2021/10/02 12:58:37 pm GMT+5:30","87","71","76","56","83","47","42","47","92","8.92"
"2021/10/02 12:59:54 pm GMT+5:30","69","44","56","56","58","44","41","45","92","6.65"
"2021/10/02 1:00:21 pm GMT+5:30","21","23","37","25","31","45","41","44","92","0"
"2021/10/02 1:01:58 pm GMT+5:30","46","51","57","61","59","41","41","41","92","6.73"
"2021/10/02 1:03:28 pm GMT+5:30","59","59","59","56","52","43","41","42","91","6.77"
"2021/10/02 1:04:02 pm GMT+5:30","74","65","66","60","58","45","42","39","90","7.58"
"2021/10/02 1:04:27 pm GMT+5:30","74","48","51","46","75","38","42","47","90","7.27"
"2021/10/02 1:04:52 pm GMT+5:30","32","41","40","41","41","27","39","43","88","4.96"
"2021/10/02 1:05:18 pm GMT+5:30","34","51","61","42","59","43","42","47","92","6.23"
"2021/10/02 1:06:09 pm GMT+5:30","45","27","47","42","41","28","39","46","86","0"
"2021/10/02 1:06:30 pm GMT+5:30","30","40","45","33","45","33","41","45","86","0"
"2021/10/02 1:06:53 pm GMT+5:30","44","49","44","45","47","41","41","45","91","5.62"
"2021/10/02 1:07:15 pm GMT+5:30","57","31","42","44","44","30","40","42","88","0"
"2021/10/02 1:07:42 pm GMT+5:30","39","26","43","15","36","40","38","44","94","0"
"2021/10/02 1:08:08 pm GMT+5:30","30","41","51","41","40","37","41","43","93","0"
"2021/10/02 1:08:30 pm GMT+5:30","55","61","66","47","64","46","40","44","90","7.08"
"2021/10/02 1:08:47 pm GMT+5:30","31","40","50","49","44","34","42","44","90","0"
"2021/10/02 1:09:10 pm GMT+5:30","47","35","43","47","42","36","41","43","89","0"
