,AM_3,DLDA,DSGT,ECCF,DS,DLDA_Lab,BE_Lab,DS_Lab,OOPM_Lab,AM_4,AOA,COA,CG,OS,AOA_Lab,CG_Lab,PA_Lab,OS_Lab,OST_LAB,OOPM,AM_3.1,DS.1,DLDA.1,DIS,ECCF.1,DLDA_Lab.1,DS_Lab.1,OOPM_Lab.1,ECCF_Lab,AM_3_Tutorial,GPA_SEMIII,GPA_SEMIV
AM_3,1.0,0.6898614907970764,0.68992623311546,0.6556069277271729,0.6614228386210602,0.38232475559673934,0.3596765156975365,0.2591254243843766,0.018388332435252515,0.783799038956605,0.6790994785447809,0.554957390573704,0.620346402613369,0.3604654183931714,0.21568867297765923,0.24569078316729978,0.2878177404328086,0.03763790016231957,0.26590267944336343,0.14138940241533743,0.008670341836901104,0.050962635060141044,0.06465696840888192,0.03453299689687541,0.060588210073773505,0.006667101828954967,0.055659413359479395,0.08368818308954272,0.18007758038007976,0.20179495774296546,0.6945848666410822,0.598223670142682
DLDA,0.6898614907970764,1.0,0.7188925677802284,0.728101589510083,0.730977033460689,0.5611006624580807,0.5114139554861343,0.3840219034073451,0.25602860985200304,0.6009898170870756,0.6817609994724808,0.5749208013799846,0.5664467114982079,0.3983323813347478,0.3854448006091822,0.5054803469026021,0.4693454947528676,0.21415696658788952,0.3856758626699991,0.20854578502811824,0.17169834134708709,0.14596278387597914,0.18650621086076574,0.20360610119046096,0.16483247082305771,0.05001831232775633,0.16954781303424438,0.16823854780631806,0.1424021298807899,0.2382614290003643,0.7744401057380081,0.5340643559518671
DSGT,0.68992623311546,0.7188925677802284,1.0,0.6716021030008997,0.6802047466181136,0.4401011328920074,0.4297166190086363,0.30102990947992,0.11226989435593086,0.650460701770506,0.6704049832799521,0.5372739689290268,0.5625713469544951,0.39945880404151446,0.3864515481872959,0.3641771451861397,0.39440807218478463,0.20612075206587116,0.37157264668752055,0.09630381469613078,0.09850649418366246,0.1374753183232916,0.12453877947882606,0.08004837889225935,0.14632447940061497,0.04133832305263971,0.05256115978283528,0.030897760564311084,0.16018414890599134,0.18893902972552815,0.6627583477543669,0.55455199030968
ECCF,0.6556069277271729,0.728101589510083,0.6716021030008997,1.0,0.7224184787709369,0.3957187568070926,0.5438862225978779,0.3452707591989399,0.1688917577618067,0.5781610882836534,0.7026460863063038,0.670292969070021,0.6699298155306218,0.5501255090056453,0.30232131389014993,0.3676663177224107,0.4564580603376373,0.1639856674568483,0.31216633945422473,0.2021412579403892,0.11856385903639653,0.1059158191190848,0.159760148252802,0.16393102174991966,0.1464328905317746,0.12434128889267168,0.009549944979189085,0.09543113609461724,0.15434079020031535,0.1677615535168885,0.7668752310894041,0.6052144765992051
DS,0.6614228386210602,0.730977033460689,0.6802047466181136,0.7224184787709369,1.0,0.4939568141464687,0.4901651284859972,0.4514434949761775,0.19581067937228838,0.6026539823616579,0.6333732745007155,0.5746086711038629,0.5333814320354284,0.41518933742980746,0.3589373005672591,0.4204251803220344,0.417675002448845,0.1886517176528618,0.43804938803504495,0.12908874494983094,0.10521588745424151,0.11340953710649268,0.11206472111707093,0.11752915778968434,0.11717251523411412,0.024292309279350957,0.011142943341102274,0.07244545606426343,0.1032573505151622,0.17265909611961622,0.7346711873805695,0.5365033871756566
DLDA_Lab,0.38232475559673934,0.5611006624580807,0.4401011328920074,0.3957187568070926,0.4939568141464687,1.0,0.5417322505752079,0.43436673502194817,0.3610777809789731,0.38142671506335707,0.40736520261775694,0.3042722384771591,0.3211855941338678,0.1970369707618375,0.317957622135788,0.3991449840206084,0.4501363476407441,0.31119845774703686,0.49933242952597506,0.06457199505039846,0.17644674451966177,0.17398064974871758,0.17393071896977114,0.1693957748576033,0.13182540597025993,0.04147276421246543,0.12011937818156443,0.1440983870548848,0.152974926132765,0.20905365138951698,0.5307542048790272,0.3259230179630086
BE_Lab,0.3596765156975365,0.5114139554861343,0.4297166190086363,0.5438862225978779,0.4901651284859972,0.5417322505752079,1.0,0.5925826553172813,0.24533029536134598,0.3394635695529674,0.49411436572605294,0.39382049867057506,0.3989723556063334,0.1953821883225968,0.3945817604792354,0.46576954489551475,0.604248043849535,0.31255322376126,0.39857338072633464,0.1723520924263779,0.03545416748303353,0.12604854038631116,0.10226663212394942,0.07541388971667572,0.1098889709618086,0.027050751697541633,0.02562179195554354,0.04246012552215086,0.17187882075781796,0.19615850957491554,0.4111211865607468,0.32224160802541385
DS_Lab,0.2591254243843766,0.3840219034073451,0.30102990947992,0.3452707591989399,0.4514434949761775,0.43436673502194817,0.5925826553172813,1.0,0.5842573639854031,0.20770625596956516,0.30612657183449477,0.32476364196427493,0.3519266097683429,0.21853636352284178,0.5896981054005193,0.5294985467690937,0.615096700953099,0.467908475861235,0.5417493919352405,0.040276228010495824,-0.012190341172363997,0.07369316281300589,0.09531269531670802,0.029837994726673152,0.057002730678721435,-0.022920775653950336,0.06099617717527177,0.0019128679476222066,0.2839311919065784,0.21788425682588206,0.2803667474067538,0.2809933987683704
OOPM_Lab,0.018388332435252515,0.25602860985200304,0.11226989435593086,0.1688917577618067,0.19581067937228838,0.3610777809789731,0.24533029536134598,0.5842573639854031,1.0,-0.09229695417465927,0.0008893680003353503,0.15703652189233824,0.08453346375604144,0.20023541623202415,0.5765884344522958,0.44463264344500275,0.3684221277673393,0.4804729097972216,0.4145190355695317,0.09396346835130695,0.2046310244623502,0.1750147671395031,0.17628996183100057,0.20173512790364734,0.20011814918644674,0.0627292045613725,0.08510391127021409,0.08895507194572928,0.13250677885208784,0.20778081337443915,0.16879072232465422,0.058499114255558995
AM_4,0.783799038956605,0.6009898170870756,0.650460701770506,0.5781610882836534,0.6026539823616579,0.38142671506335707,0.3394635695529674,0.20770625596956516,-0.09229695417465927,1.0,0.7075351235976112,0.5519314461222385,0.6039068883977541,0.29832619161461943,0.1972608233164432,0.20609652950563928,0.26306019986089024,-0.12469218723784083,0.32742953378750994,0.21174609714027728,0.025698510852359,0.10982125662928101,0.10146970808236902,0.046785669715036365,0.16993299355251537,0.0667876115115494,0.10233101277508061,0.04885936645368284,0.13906313006297732,0.1942399088200474,0.5991045491740592,0.7041783343699076
