AM_3,DLDA,DSGT,ECCF,DS,DLDA_Lab,BE_Lab,DS_Lab,OOPM_Lab,GPA_SEMIII,OOPM,AM_3,DS,DLDA,DIS,ECCF,DLDA_Lab,DS_Lab,OOPM_Lab,ECCF_Lab,AM_3_Tutorial
94,70,82,71,70,47,46,48,94,9.08,65.4,48.84,72.5,66.667,74,73.33,85.7,80,100,100,88
96,75,88,76,78,46,45,48,90,9.54,80.8,76.74,77.5,80,76,77.78,85.7,60,80,100,63
26,53,65,46,60,46,45,45,90,0,80.769,81.395,90,93.333,84.78,91.11,100,90,90,75,87.5
50,64,58,67,78,45,43,48,91,7.54,84.615,79.07,82.5,77.778,91.3,71.11,85.71,100,100,75,87.5
66,70,59,52,46,40,42,45,90,7.12,100,79.07,75,88.889,86.96,84.44,100,90,100,87.5,87.5
68,67,76,75,78,41,44,43,90,8.5,92.308,79.07,87.5,97.778,95.65,91.11,100,80,100,87.5,87.5
94,87,72,76,73,43,45,46,88,9.23,88.462,86.047,85,97.778,91.3,95.56,100,80,100,100,100
84,79,70,78,67,45,45,45,87,8.92,92.308,67.442,70,88.889,89.13,75.56,100,90,100,87.5,100
84,79,71,53,70,45,44,46,94,8.62,84.615,72.093,72.5,80,75.74,73.33,100,90,100,75,62.5
75,65,73,27,57,37,42,43,82,0,65.385,44.186,70,66.667,50,68.89,71.43,100,100,75,100
70,73,70,48,76,45,43,46,95,8.08,73.077,69.767,87.5,95.556,95.65,86.67,85.71,90,100,100,87.5
84,67,76,64,70,45,45,42,73,8.46,65.385,51.163,57.5,60,60.87,64.44,71.43,90,100,75,75
83,65,68,69,76,41,45,48,89,8.46,69.231,58.14,60,71.111,60.87,71.11,71.43,80,100,62.5,87.5
73,64,50,55,63,44,42,43,75,7.38,65.385,39.535,72.5,66.667,67.39,68.89,100,90,100,87.5,75
78,61,50,65,63,41,43,45,79,7.73,57.692,51.163,65,71.111,69.57,75.56,85.71,80,90,87.5,75
75,45,63,52,44,42,41,36,73,6.81,69.231,46.512,67.5,68.889,63.04,60,100,90,100,87.5,87.5
49,48,67,44,43,45,43,48,84,5.96,73.077,55.814,65,80,71.74,75.56,85.71,100,80,75,75
88,58,69,53,69,44,43,45,87,7.85,76.92,34.884,62.5,60,54.35,51.11,71.43,80,90,75,37.5
64,70,85,65,79,42,40,46,85,8.5,53.846,60.465,80,73.333,78.26,77.78,85.71,90,63.64,100,87.5
69,60,76,62,67,39,45,45,85,7.85,92.308,74.419,80,86.667,82.61,84.44,100,80,90.91,90,100
65,49,55,44,56,42,43,46,89,6.5,88.462,60.465,67.5,77.778,67.39,71.11,71.43,90,90.91,100,100
58,55,54,58,64,46,45,47,89,6.92,84.615,86.047,92.5,95.556,97.83,91.11,100,90,90.91,100,100
83,70,68,71,72,45,43,48,91,8.62,80.769,69.767,77.5,88.889,78.26,82.22,100,80,81.82,90,75
77,64,56,55,57,44,44,44,90,7.5,80.769,72.093,82.5,80,84.78,82.22,85.71,90,90.91,100,100
79,40,50,53,50,38,43,45,90,0,76.923,72.093,80,88.889,84.78,80,100,80,72.73,100,62.5
44,55,55,45,54,44,46,46,89,6.23,65.385,48.837,62.5,64.444,67.39,64.44,71.43,90,63.64,90,37.5
